"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.685440475608598E9,"2023-05-30 11:54:35.609 UTC+02:00"
"PAUSE",1.121525500833522E2,1.685440587759308E9,"2023-05-30 11:56:27.759 UTC+02:00"
