"event","experiment time","system time","system time text"
"START",0.000000000E0,1685545479.174,"2023-05-31 17:04:39.174 UTC+02:00"
"PAUSE",8.747828038E1,1685545566.652,"2023-05-31 17:06:06.652 UTC+02:00"
