"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.319319400E-1,-1.875000000E1,-2.208750153E1,-3.429375076E1
9.419319400E-1,-1.974375153E1,-2.199375153E1,-3.376875305E1
9.519319400E-1,-2.083125114E1,-2.229375076E1,-3.339375305E1
9.619319400E-1,-2.171250153E1,-2.221875000E1,-3.277500153E1
9.719319400E-1,-2.272500038E1,-2.225625038E1,-3.206250000E1
9.819319400E-1,-2.392500114E1,-2.231250000E1,-3.112500191E1
9.919319400E-1,-2.482500076E1,-2.223750114E1,-3.039375114E1
1.001931940E0,-2.598750114E1,-2.229375076E1,-2.947500038E1
1.011931940E0,-2.692500114E1,-2.208750153E1,-2.900625038E1
1.021931940E0,-2.776875114E1,-2.193750000E1,-2.842500114E1
1.031931940E0,-2.859375191E1,-2.141250038E1,-2.756250191E1
1.041931940E0,-2.943750191E1,-2.101875114E1,-2.690625191E1
1.051931940E0,-3.024375153E1,-2.090625000E1,-2.643750191E1
1.061931940E0,-3.065625191E1,-2.060625076E1,-2.608125114E1
1.071931940E0,-3.125625038E1,-2.043750000E1,-2.574375153E1
1.081931940E0,-3.129375076E1,-1.995000076E1,-2.574375153E1
1.091931940E0,-3.155625153E1,-2.006250000E1,-2.576250076E1
1.101931940E0,-3.155625153E1,-1.972500038E1,-2.557500076E1
1.111931940E0,-3.138750076E1,-1.974375153E1,-2.589375114E1
1.121931940E0,-3.123750114E1,-1.985625076E1,-2.591250038E1
1.131931940E0,-3.080625153E1,-1.944375038E1,-2.610000038E1
1.141931940E0,-3.071250153E1,-1.972500038E1,-2.647500038E1
1.151931940E0,-3.039375114E1,-1.981875038E1,-2.709375191E1
1.161931940E0,-3.026250076E1,-2.017500114E1,-2.709375191E1
1.171931940E0,-2.983125114E1,-2.004375076E1,-2.731875038E1
1.181931940E0,-2.949375153E1,-2.025000000E1,-2.769375038E1
1.191931940E0,-2.908125114E1,-2.013750076E1,-2.763750076E1
1.201931940E0,-2.880000114E1,-1.989375114E1,-2.812500191E1
1.211931940E0,-2.883750153E1,-1.993125153E1,-2.846250153E1
1.221931940E0,-2.848125076E1,-1.953750038E1,-2.866875076E1
1.231931940E0,-2.823750114E1,-1.920000076E1,-2.868750191E1
1.241931940E0,-2.806875038E1,-1.906875038E1,-2.904375076E1
1.251931940E0,-2.812500191E1,-1.903125000E1,-2.921250153E1
1.261931940E0,-2.838750076E1,-1.905000114E1,-2.923125076E1
1.271931940E0,-2.865000153E1,-1.912500000E1,-2.930625153E1
1.281931940E0,-2.895000076E1,-1.931250000E1,-2.880000114E1
1.291931940E0,-2.913750076E1,-1.931250000E1,-2.846250153E1
1.301931940E0,-2.941875076E1,-1.936875153E1,-2.831250191E1
1.311931940E0,-2.966250038E1,-1.942500114E1,-2.816250038E1
1.321931940E0,-2.998125076E1,-1.916250038E1,-2.805000114E1
1.331931940E0,-3.026250076E1,-1.916250038E1,-2.799375153E1
1.341931940E0,-3.031875038E1,-1.912500000E1,-2.790000153E1
1.351931940E0,-3.031875038E1,-1.903125000E1,-2.784375191E1
1.361931940E0,-3.039375114E1,-1.901250076E1,-2.810625076E1
1.371931940E0,-3.041250038E1,-1.893750000E1,-2.846250153E1
1.381931940E0,-3.067500114E1,-1.873125076E1,-2.840625191E1
1.391931940E0,-3.090000153E1,-1.863750076E1,-2.833125114E1
1.401931940E0,-3.103125191E1,-1.884375000E1,-2.821875191E1
1.411931940E0,-3.120000076E1,-1.875000000E1,-2.799375153E1
