"event","experiment time","system time","system time text"
"START",0.000000000E0,1686052132.965,"2023-06-06 13:48:52.965 UTC+02:00"
"PAUSE",8.925504917E1,1686052222.220,"2023-06-06 13:50:22.220 UTC+02:00"
