"event","experiment time","system time","system time text"
"START",0.000000000E0,1686221713.173,"2023-06-08 12:55:13.173 UTC+02:00"
"PAUSE",4.818005204E1,1686221761.353,"2023-06-08 12:56:01.353 UTC+02:00"
