"event","experiment time","system time","system time text"
"START",0.000000000E0,1686221790.567,"2023-06-08 12:56:30.567 UTC+02:00"
"PAUSE",3.680061367E1,1686221827.368,"2023-06-08 12:57:07.368 UTC+02:00"
