"event","experiment time","system time","system time text"
"START",0.000000000E0,1686059646.874,"2023-06-06 15:54:06.874 UTC+02:00"
"PAUSE",5.764927296E1,1686059704.523,"2023-06-06 15:55:04.523 UTC+02:00"
