"event","experiment time","system time","system time text"
"START",0.000000000E0,1686221908.882,"2023-06-08 12:58:28.882 UTC+02:00"
"PAUSE",4.190483975E1,1686221950.787,"2023-06-08 12:59:10.787 UTC+02:00"
