"event","experiment time","system time","system time text"
"START",0.000000000E0,1686820451.077,"2023-06-15 11:14:11.077 UTC+02:00"
"PAUSE",1.759863332E1,1686820468.676,"2023-06-15 11:14:28.676 UTC+02:00"
