"event","experiment time","system time","system time text"
"START",0.000000000E0,1686652654.354,"2023-06-13 12:37:34.354 UTC+02:00"
"PAUSE",2.584177283E1,1686652680.195,"2023-06-13 12:38:00.195 UTC+02:00"
