"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.685962678634646E9,"2023-06-05 12:57:58.635 UTC+02:00"
"PAUSE",7.771697308333387E1,1.685962756351269E9,"2023-06-05 12:59:16.351 UTC+02:00"
