"event","experiment time","system time","system time text"
"START",0.000000000E0,1686220706.199,"2023-06-08 12:38:26.199 UTC+02:00"
"PAUSE",5.193628502E1,1686220758.136,"2023-06-08 12:39:18.136 UTC+02:00"
