"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.139673519E1,5.322940052E1,1.040252054E1,3.447807144E1,7.759233645E-1,2.707453006E2,5.159361783E0,5.159361783E0
4.239670730E1,5.322939022E1,1.040250495E1,3.434376018E1,7.421217149E-1,2.546007577E2,5.138346613E0,5.138346613E0
4.339667988E1,5.322938737E1,1.040248931E1,3.438946398E1,7.441417468E-1,2.557678119E2,5.128827893E0,5.128827893E0
4.439665306E1,5.322938295E1,1.040246100E1,3.437010516E1,9.090989661E-1,2.550190544E2,5.119529049E0,5.119529049E0
4.539662540E1,5.322938517E1,1.040244618E1,3.428204500E1,6.295200698E-1,2.679918360E2,5.103572097E0,5.103572097E0
4.639659739E1,5.322938220E1,1.040242416E1,3.462835237E1,9.122224346E-1,2.647084789E2,5.081731641E0,5.081731641E0
4.739657009E1,5.322937914E1,1.040240552E1,3.454132725E1,9.353223683E-1,2.619423603E2,5.056341184E0,5.056341184E0
4.839654267E1,5.322938104E1,1.040238746E1,3.462180155E1,9.740157669E-1,2.689921942E2,5.048441896E0,5.048441896E0
4.939651597E1,5.322937573E1,1.040237026E1,3.491226528E1,9.473880067E-1,2.618784888E2,5.036651318E0,5.036651318E0
5.039648843E1,5.322937393E1,1.040234703E1,3.514254578E1,9.744019848E-1,2.607915144E2,5.021959587E0,5.021959587E0
5.139646053E1,5.322937663E1,1.040232052E1,3.506313919E1,1.089644755E0,2.708595781E2,4.997882812E0,4.997882812E0
5.239643383E1,5.322937429E1,1.040229915E1,3.442110393E1,1.120229270E0,2.673274433E2,4.987230568E0,4.987230568E0
5.339640546E1,5.322936790E1,1.040228366E1,3.450424368E1,1.084137321E0,2.550862055E2,4.984898010E0,4.984898010E0
5.439637864E1,5.322936999E1,1.040225728E1,3.471373903E1,1.267646210E0,2.651054680E2,4.974286316E0,4.974286316E0
