"event","experiment time","system time","system time text"
"START",0.000000000E0,1686653618.296,"2023-06-13 12:53:38.296 UTC+02:00"
"PAUSE",3.063321982E1,1686653648.930,"2023-06-13 12:54:08.930 UTC+02:00"
