"event","experiment time","system time","system time text"
"START",0.000000000E0,1686228568.366,"2023-06-08 14:49:28.366 UTC+02:00"
"PAUSE",6.109832867E1,1686228629.465,"2023-06-08 14:50:29.465 UTC+02:00"
