"event","experiment time","system time","system time text"
"START",0.000000000E0,1686772839.232,"2023-06-14 22:00:39.232 UTC+02:00"
"PAUSE",4.334932083E1,1686772882.581,"2023-06-14 22:01:22.581 UTC+02:00"
