"event","experiment time","system time","system time text"
"START",0.000000000E0,1686222302.558,"2023-06-08 13:05:02.558 UTC+02:00"
"PAUSE",3.425660963E1,1686222336.814,"2023-06-08 13:05:36.814 UTC+02:00"
