"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.030774466E0,5.323179960E1,1.040346730E1,3.224646242E1,0.000000000E0,0.000000000E0,2.505599976E1,1.295299411E0
2.066318883E0,5.323160727E1,1.040580471E1,1.371656918E1,0.000000000E0,0.000000000E0,3.200000000E1,8.735405922E0
3.076709844E0,5.323154998E1,1.040590896E1,8.646617669E0,0.000000000E0,0.000000000E0,2.400000000E1,1.655384216E2
4.088516420E0,5.323155251E1,1.040591494E1,8.646619661E0,0.000000000E0,0.000000000E0,4.800000000E1,1.655456238E2
5.102603766E0,5.323159418E1,1.040552251E1,3.038254439E1,0.000000000E0,0.000000000E0,4.800000000E1,8.655193329E1
6.108105726E0,5.323172346E1,1.040390121E1,5.229344600E1,0.000000000E0,0.000000000E0,1.200000000E1,2.255646706E1
7.111221264E0,5.323176159E1,1.040370535E1,4.864913457E1,1.407733083E0,2.475081024E2,1.600000000E1,2.083389282E1
8.114127379E0,5.323176222E1,1.040357925E1,4.316010942E1,1.453680754E0,2.517677155E2,1.600000000E1,1.661205292E1
9.372015609E0,5.323176510E1,1.040350484E1,3.555191650E1,8.776068687E-1,2.620046692E2,1.200000000E1,1.322946167E1
1.038415284E1,5.323177267E1,1.040346427E1,3.349321988E1,1.423799872E0,2.610780945E2,1.200000000E1,1.123180962E1
1.140559222E1,5.323177676E1,1.040342694E1,3.202429597E1,1.319868207E0,2.614720459E2,8.000000000E0,9.874729156E0
1.239844576E1,5.323177571E1,1.040339516E1,3.119723512E1,1.453799248E0,2.721552734E2,8.000000000E0,8.892444611E0
1.340262684E1,5.323177661E1,1.040336574E1,3.071631413E1,1.674062014E0,2.735890808E2,8.000000000E0,8.028209686E0
1.441151176E1,5.323177902E1,1.040333682E1,2.974301629E1,1.384598136E0,2.740240784E2,8.000000000E0,7.233212948E0
1.540331357E1,5.323178071E1,1.040331156E1,2.943900838E1,1.593499303E0,2.828441467E2,6.000000000E0,6.682524204E0
1.640711453E1,5.323178232E1,1.040327880E1,2.944876602E1,1.825572491E0,2.767750854E2,6.000000000E0,6.283481598E0
1.742001926E1,5.323178253E1,1.040324397E1,2.960034123E1,2.117896080E0,2.704039612E2,6.000000000E0,5.950498104E0
1.841322818E1,5.323178046E1,1.040320601E1,2.979867852E1,2.017455816E0,2.686691895E2,6.000000000E0,5.576725006E0
1.942651937E1,5.323177930E1,1.040316924E1,2.941151391E1,1.989705205E0,2.676259766E2,6.000000000E0,5.281088829E0
2.040307752E1,5.323177725E1,1.040313305E1,2.942002903E1,2.191762924E0,2.668267822E2,6.000000000E0,5.019240379E0
