"event","experiment time","system time","system time text"
"START",0.000000000E0,1686654067.317,"2023-06-13 13:01:07.317 UTC+02:00"
"PAUSE",5.133630227E1,1686654118.653,"2023-06-13 13:01:58.653 UTC+02:00"
