"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.101419330E-1,-2.518125153E1,-8.531250000E0,-3.896250153E1
8.201419330E-1,-2.591250038E1,-8.512500763E0,-3.843750000E1
8.301419330E-1,-2.656875038E1,-8.400000572E0,-3.763125229E1
8.401419330E-1,-2.743125153E1,-8.550000191E0,-3.688125229E1
8.501419330E-1,-2.810625076E1,-8.343750000E0,-3.611250305E1
8.601419330E-1,-2.870625114E1,-8.268750191E0,-3.536250305E1
8.701419330E-1,-2.960625076E1,-7.875000477E0,-3.444375229E1
8.801419330E-1,-3.037500191E1,-7.650000095E0,-3.380625153E1
8.901419330E-1,-3.110625076E1,-7.181250095E0,-3.322500229E1
9.001419330E-1,-3.189375114E1,-7.012500286E0,-3.275625229E1
9.101419330E-1,-3.256875229E1,-6.675000191E0,-3.226875305E1
9.201419330E-1,-3.305625153E1,-6.300000191E0,-3.172500038E1
9.301419330E-1,-3.354375076E1,-5.868750095E0,-3.116250038E1
9.401419330E-1,-3.418125153E1,-5.493750095E0,-3.061875153E1
9.501419330E-1,-3.466875076E1,-5.231250286E0,-3.026250076E1
9.601419330E-1,-3.496875000E1,-4.800000191E0,-2.981250191E1
9.701419330E-1,-3.536250305E1,-4.837500095E0,-2.887500191E1
9.801419330E-1,-3.594375229E1,-4.462500095E0,-2.793750191E1
9.901419330E-1,-3.635625076E1,-4.293750286E0,-2.737500191E1
1.000141933E0,-3.691875076E1,-4.256250381E0,-2.681250191E1
1.010141933E0,-3.748125076E1,-4.143750191E0,-2.613750076E1
1.020141933E0,-3.800625229E1,-4.050000191E0,-2.544375038E1
1.030141933E0,-3.813750076E1,-4.106250286E0,-2.467500114E1
1.040141933E0,-3.868125153E1,-4.143750191E0,-2.416875076E1
1.050141933E0,-3.901875305E1,-3.956250191E0,-2.401875114E1
1.060141933E0,-3.922500229E1,-3.768750191E0,-2.381250000E1
1.070141933E0,-3.945000076E1,-3.600000143E0,-2.371875000E1
1.080141933E0,-3.958125305E1,-3.187500238E0,-2.338125038E1
1.090141933E0,-3.960000229E1,-2.981250048E0,-2.317500114E1
1.100141933E0,-3.954375076E1,-2.831250191E0,-2.291250038E1
1.110141933E0,-3.960000229E1,-2.250000000E0,-2.293125153E1
1.120141933E0,-3.975000000E1,-1.950000048E0,-2.298750114E1
1.130141933E0,-3.975000000E1,-1.481250048E0,-2.289375114E1
1.140141933E0,-3.943125153E1,-1.237500072E0,-2.296875000E1
1.150141933E0,-3.930000305E1,-7.125000358E-1,-2.274375153E1
1.160141933E0,-3.901875305E1,-1.687500030E-1,-2.296875000E1
1.170141933E0,-3.909375000E1,4.125000238E-1,-2.321250153E1
1.180141933E0,-3.907500076E1,1.031250000E0,-2.358750153E1
1.190141933E0,-3.905625153E1,1.256250024E0,-2.377500153E1
1.200141933E0,-3.864375305E1,1.687500119E0,-2.390625000E1
1.210141933E0,-3.838125229E1,2.193750143E0,-2.409375191E1
1.220141933E0,-3.856875229E1,2.493750095E0,-2.426250076E1
1.230141933E0,-3.855000305E1,2.718750000E0,-2.428125191E1
1.240141933E0,-3.849375153E1,2.906250000E0,-2.400000000E1
1.250141933E0,-3.825000000E1,2.831250191E0,-2.394375038E1
1.260141933E0,-3.817500305E1,2.793750048E0,-2.398125076E1
1.270141933E0,-3.826875305E1,2.887500048E0,-2.385000038E1
1.280141933E0,-3.843750000E1,3.056250095E0,-2.386875153E1
1.290141933E0,-3.864375305E1,2.831250191E0,-2.364375114E1
1.300141933E0,-3.870000076E1,2.850000143E0,-2.343750000E1
1.310141933E0,-3.860625076E1,2.812500000E0,-2.362500000E1
1.320141933E0,-3.870000076E1,2.587500095E0,-2.381250000E1
1.330141933E0,-3.851250076E1,2.662500143E0,-2.379375076E1
1.340141933E0,-3.830625153E1,2.718750000E0,-2.353125000E1
1.350141933E0,-3.798750305E1,2.625000000E0,-2.360625076E1
1.360141933E0,-3.785625076E1,2.418750048E0,-2.362500000E1
1.370141933E0,-3.768750000E1,2.362500191E0,-2.396250153E1
1.380141933E0,-3.748125076E1,1.931250095E0,-2.411250114E1
