"event","experiment time","system time","system time text"
"START",0.000000000E0,1685964122.335,"2023-06-05 13:22:02.335 UTC+02:00"
"PAUSE",7.883640364E1,1685964201.172,"2023-06-05 13:23:21.172 UTC+02:00"
