"event","experiment time","system time","system time text"
"START",0.000000000E0,1686221797.302,"2023-06-08 12:56:37.302 UTC+02:00"
"PAUSE",3.682588545E1,1686221834.128,"2023-06-08 12:57:14.128 UTC+02:00"
