"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.687259602726494E9,"2023-06-20 13:13:22.726 UTC+02:00"
"PAUSE",4.173838504159357E1,1.687259644464771E9,"2023-06-20 13:14:04.465 UTC+02:00"
