"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.512571010E-1,-1.265635490E0,-9.917389750E-1,-7.091376781E-1
3.560113720E-1,-1.392695308E0,-1.144455194E0,-6.089558005E-1
3.607656430E-1,-1.486768484E0,-1.323438525E0,-4.776198864E-1
3.655199660E-1,-1.544800639E0,-1.529910803E0,-3.279580176E-1
3.702742370E-1,-1.562515736E0,-1.776089311E0,-1.679114550E-1
3.750285070E-1,-1.538081169E0,-2.068082809E0,-7.254019380E-3
3.797828300E-1,-1.466609955E0,-2.388175964E0,1.460730433E-1
3.845371010E-1,-1.327943683E0,-2.650236845E0,2.865719497E-1
3.892913720E-1,-1.147127748E0,-2.856098175E0,4.001927972E-1
3.940456950E-1,-1.005407095E0,-2.793179274E0,4.557814896E-1
3.987999660E-1,-1.015180945E0,-2.298378706E0,4.209621847E-1
4.035542890E-1,-9.644791484E-1,-2.203083754E0,3.708712757E-1
4.083085600E-1,-8.838449717E-1,-2.090684652E0,3.012326956E-1
4.130628300E-1,-8.490256667E-1,-1.853058338E0,1.924987584E-1
4.178171010E-1,-8.368083835E-1,-1.623373151E0,4.772381112E-2
4.225714240E-1,-8.392518759E-1,-1.372307777E0,-1.141553521E-1
4.273256950E-1,-8.453605175E-1,-1.172554970E0,-2.668715417E-1
4.320800180E-1,-8.337540627E-1,-1.082147002E0,-4.055378437E-1
4.368342890E-1,-8.013782501E-1,-1.010064960E0,-5.442041755E-1
4.415885600E-1,-7.665589452E-1,-8.982766867E-1,-6.871465445E-1
4.463428820E-1,-7.335722446E-1,-7.748819590E-1,-8.172607422E-1
4.510971530E-1,-6.883682609E-1,-6.667588949E-1,-9.156099558E-1
4.558514240E-1,-6.291143894E-1,-5.610793233E-1,-9.846376777E-1
4.606057470E-1,-5.613083839E-1,-4.725039005E-1,-1.032285094E0
4.653600180E-1,-4.928915203E-1,-4.224129915E-1,-1.059774041E0
4.701142890E-1,-4.287507236E-1,-4.444041252E-1,-1.078099966E0
4.748685600E-1,-3.823249936E-1,-5.781835318E-1,-1.092760682E0
4.796228820E-1,-3.444513679E-1,-7.541125417E-1,-1.084208608E0
4.843771530E-1,-3.206276596E-1,-9.117156863E-1,-1.050611019E0
4.891314240E-1,-3.163515925E-1,-1.026558280E0,-9.895246029E-1
4.938857470E-1,-3.236819804E-1,-1.091309905E0,-9.052252173E-1
4.986400180E-1,-3.377318680E-1,-1.126129270E0,-7.916043997E-1
5.033942890E-1,-3.585012555E-1,-1.111468434E0,-6.303361058E-1
5.081486120E-1,-3.682751060E-1,-1.109635830E0,-4.104247689E-1
5.129028820E-1,-3.591121435E-1,-1.072373152E0,-1.605810821E-1
5.176571530E-1,-3.432296515E-1,-9.373720288E-1,1.167515293E-1
5.224114760E-1,-3.023017049E-1,-7.461713552E-1,4.050796926E-1
5.271657470E-1,-2.436586916E-1,-4.938841760E-1,6.854666471E-1
5.319200180E-1,-1.715766490E-1,-2.147189677E-1,9.560797215E-1
5.366743410E-1,-9.766200930E-2,8.888082206E-2,1.202869058E0
5.414286120E-1,-2.619082667E-2,4.169152081E-1,1.422169566E0
5.461828820E-1,2.573267929E-2,7.351757884E-1,1.577329278E0
5.509372050E-1,4.528035223E-2,1.027779937E0,1.558392406E0
5.556914760E-1,4.772381112E-2,1.183550477E0,1.504025459E0
5.604457470E-1,4.589121789E-2,1.206763387E0,1.494251609E0
5.652000700E-1,5.688678101E-2,1.200654745E0,1.516853571E0
5.699543410E-1,1.008690447E-1,1.150563836E0,1.541288137E0
5.747086120E-1,1.863901168E-1,1.072373152E0,1.576718330E0
5.794629350E-1,3.158934414E-1,1.005788803E0,1.630474448E0
5.842172050E-1,4.930442274E-1,9.929606915E-1,1.701334715E0
5.889714760E-1,7.007382512E-1,1.031445146E0,1.789299250E0
5.937257990E-1,9.206495881E-1,1.130405307E0,1.879707336E0
5.984800700E-1,1.132008791E0,1.278234601E0,1.969504356E0
6.032343410E-1,1.329928994E0,1.405294418E0,2.064188480E0
6.079886120E-1,1.521740556E0,1.456607103E0,2.161315918E0
6.127429350E-1,1.699502230E0,1.482263446E0,2.256000042E0
6.174972050E-1,1.859548688E0,1.522580504E0,2.332968950E0
