"event","experiment time","system time","system time text"
"START",0.000000000E0,1686656344.533,"2023-06-13 13:39:04.533 UTC+02:00"
"PAUSE",4.979765706E1,1686656394.330,"2023-06-13 13:39:54.330 UTC+02:00"
