Mean X,Mean Y,Mean Z,Standardabweichung X,Standardabweichung Y,Standardabweichung Z,Min X,Max X,Min Y,Max Y,Min Z,Max Z,Lokale Peaks X,Lokale Peaks Y,Lokale Peaks Z,Label
3.86321143051929,-9.254439473062869,1.393214290748375,3.4317566145231093,3.6684472973558355,2.7105851450933094,-7.470392227,17.65903091,-27.06521606,-1.428515077,-17.35514259,11.7966156,3,2,2,TreppeRunter
-0.2888829023417632,-9.84920699735754,-1.4048658335361157,3.127520811802534,4.594849251973975,2.659103447257391,-13.54009323,12.18975128,-31.42924255,-0.08547225952,-16.87620575,9.449250183,0,0,0,TreppeRunter
-2.004052726351969,-9.423195865523246,2.328274884469297,2.689351066236464,4.169321386359391,3.0433431208629957,-19.21299637,10.3713327,-33.42010254,-0.9960287476,-15.96999023,26.33967636,0,0,1,TreppeRunter
1.1994280360319949,-9.596380511766482,2.267327430557305,2.9963687386776265,3.365553514118816,3.1115669812506295,-11.99524975,11.91624069,-27.39535332,2.892195702,-11.06390572,19.11590576,2,1,1,TreppeRunter
2.1869994927909664,-10.201786513847637,0.1549526156107094,3.2488611352925942,4.195874998822691,2.909031123375211,-11.17926693,14.2061882,-28.8382988,-2.510071039,-38.72065735,7.01575613,2,1,0,TreppeRunter
-0.834862966589875,-9.777073922697928,-1.4699472638369786,2.256835240683956,3.835415532737051,2.6436945329187993,-9.360784149,10.45740372,-31.95749405,-1.19346817,-19.32077225,9.040599976,1,0,1,TreppeRunter
0.5313212573176069,-9.871803554402513,-1.4918018925031964,3.5494844066716063,5.033897600253177,2.865031310545631,-10.9858049,15.29669037,-47.37109131,4.576732635,-18.23478058,11.15195938,1,0,1,TreppeRunter
3.2601386416339855,-9.87800766438472,0.15034972835024396,3.2998375971031955,4.020506501647398,2.7630960965444338,-10.69591713,14.56271839,-23.88036919,-2.71824646,-22.45424843,6.479763508,2,1,0,TreppeRunter
2.4930219886809324,-10.124214842349451,0.2370657465871564,3.4408018221714656,4.206027731055189,3.0083929927252457,-12.21775246,17.16850281,-33.63830185,-2.97427845,-45.31288147,8.322237015,1,2,1,TreppeRunter
-0.04416085675155829,-9.806401223177568,-1.5360058605071245,2.9504202766803855,3.5334810899731726,2.646911804592444,-12.3798666,13.24068451,-29.39403152,-0.6442674994,-15.28116322,9.040681839,2,1,1,TreppeRunter
6.923865135172873,-7.154240600760888,-0.8700193506514255,3.20857872332481,3.325523998272836,2.9534566081428673,-6.451648235,40.40400696,-24.60060883,0.3762713671,-25.71327209,17.12244034,3,4,6,TreppeRunter
0.1509136579320002,-9.771279335888865,-1.5380133744764837,2.739908865414321,3.4954555664192286,2.680864210470838,-14.52802277,10.48355389,-30.32783127,-0.0382851623,-16.08216095,11.78704453,2,2,2,TreppeRunter
0.11197456081469735,-9.773749657400726,-1.5437377478694345,2.7696155110562906,3.641084669523805,2.6576352379997017,-11.80020523,13.47338581,-32.32404327,0.185443759,-14.57169151,13.58704472,2,2,3,TreppeRunter
0.3219730547308403,-9.793341422833638,-1.4336491407753913,2.7795516976626704,3.461617612169115,2.7053609847151048,-12.30927753,19.00678825,-35.29652786,-0.02811566554,-15.95893097,8.963513374,1,3,2,TreppeRunter
1.583090087062103,-9.550450387067864,2.253567566653575,2.9044581540434087,3.406236243290747,3.8610537353952044,-10.19959831,15.1870203,-25.88940048,-0.9552865028,-12.23945808,24.93411446,2,2,1,TreppeRunter
1.3470014391738219,-9.608666314440713,1.9950599194587142,2.8316475927320255,3.207331690302752,3.5164499860668266,-10.11101341,13.67358494,-29.15509224,-0.1340752989,-13.47007847,33.48381042,2,2,2,TreppeRunter
0.05685639802114429,-9.85001199592641,-1.420006877515253,3.0932234023917298,3.97073821845762,2.7673722403851277,-14.98385525,17.02493286,-33.94458389,1.564906001,-15.15733528,9.426525116,1,1,2,TreppeRunter
1.2213280816900587,-9.608915619903238,2.372745471490933,3.3108705098111053,3.9026287260236274,4.021954670131481,-14.28650093,15.96034718,-27.96756744,2.41574955,-11.96891403,30.29952049,2,1,1,TreppeRunter
1.4766434761758187,-9.625593315192697,2.3979347845204844,3.7799929525219067,4.209263766085067,5.254921566090934,-13.62091255,26.89975357,-27.91250038,3.82593441,-17.28912926,37.14244843,1,1,1,TreppeRunter
3.0590165559577076,-9.852328510378928,0.33247308002080617,2.983501676169158,3.9326233780201525,2.7285909814309,-9.090332985,14.54596901,-24.84707069,-2.342573404,-28.46980476,6.381658077,2,1,2,TreppeRunter
0.32587149446577846,-9.81881286268344,1.8274053091218943,2.982730589695454,3.9758609136882814,2.5520215993100925,-10.46458878,12.14813782,-28.02532104,-1.280287628,-10.15802628,16.81213898,1,1,1,TreppeRunter
3.05005285375762,-9.869420844090728,0.32053088032202226,3.0841429405953584,4.325542299520197,3.42579620695436,-10.9112711,15.04606915,-31.01098061,-2.880958557,-52.83113098,9.114261627,0,3,1,TreppeRunter
1.7288624628709306,-9.74934840473043,1.6825370298760662,4.228618979862856,6.5003732635318325,4.311572275064217,-16.04139175,22.22832596,-62.20614166,5.754184113,-29.81978943,52.41724777,1,0,0,TreppeRunter
1.4628026729033587,-9.56767243272332,-1.7009590539878305,3.4531801648106337,4.504884972108565,2.9360800281144486,-14.99925888,23.70021515,-34.21210556,-1.395098877,-21.11748596,17.72673706,1,1,1,TreppeRunter
2.829832040054444,-10.036341914209734,0.11820675819796932,3.1757600601851363,3.9464302491419256,2.7116521033395036,-9.891928673,14.91207027,-25.30170631,-2.694318295,-38.29473495,6.352943897,1,1,1,TreppeRunter
