Mean X,Mean Y,Mean Z,Standardabweichung X,Standardabweichung Y,Standardabweichung Z,Min X,Max X,Min Y,Max Y,Min Z,Max Z,Lokale Peaks X,Lokale Peaks Y,Lokale Peaks Z,Label
2.376274488946238,-9.54806363669394,1.3021133006384145,2.610161969988248,4.621727811034814,2.8112061003858546,-9.306297455,19.87462051,-38.37509857,3.36395462,-12.4934697,18.82934418,1,0,1,TreppeHoch
-1.5788103220054754,-9.409080940719985,-1.262789039435588,3.0327859973657803,4.990909823340456,3.4112023410304304,-17.93001434,17.53453674,-35.21037964,5.372178497,-19.9066539,19.38947937,2,1,2,TreppeHoch
0.17723385218572332,-9.765682233480552,1.2907472316718955,2.113292434513454,3.39460543628175,2.3904439142484097,-13.62032639,10.26804749,-29.25456482,0.3393443298,-7.763755188,14.80346603,1,1,1,TreppeHoch
2.592763256035627,-9.485690854223796,1.4224952914350808,2.5893064499120686,5.04199821415801,2.9354693103840783,-7.107519836,15.2856134,-43.15929977,4.734654236,-15.69456299,21.37554932,0,0,0,TreppeHoch
1.8656560136386733,-9.309181355341352,-1.9133731937613296,2.3639596560381353,3.8388477137901478,3.0232488444031675,-13.47039509,16.6779747,-35.90849304,3.151347399,-18.75793457,7.05523777,2,3,3,TreppeHoch
3.674720891595751,-9.377756024881167,1.0664087471778585,4.127852244718337,6.711664600299714,3.8011774609364055,-7.606582031,29.5507988,-54.77828796,9.187594299,-20.65839066,23.6186348,1,1,1,TreppeHoch
3.4146401735653775,-9.087563320603156,1.503523631457762,2.5343816218615505,4.007884057824088,2.685389046017501,-4.770130463,15.06602005,-36.86099716,9.867031403,-7.706274719,18.87694519,1,1,1,TreppeHoch
1.8327370883893868,-9.69285363013218,-1.503217423959499,3.2293516070847987,5.180880312614795,2.9223754798191597,-14.64586926,26.36352158,-48.80939484,2.435295343,-18.92064667,10.36451149,3,3,3,TreppeHoch
1.3860929345329074,-9.57153518140876,-1.8215075228510456,2.721256811661976,4.660350843758892,3.1096401530439945,-11.64766216,16.16949844,-32.63211823,2.641077995,-19.02174377,9.087940216,2,3,3,TreppeHoch
0.05685639802114429,-9.85001199592641,-1.420006877515253,3.0932234023917298,3.97073821845762,2.7673722403851277,-14.98385525,17.02493286,-33.94458389,1.564906001,-15.15733528,9.426525116,1,1,2,TreppeHoch
1.5373855153598137,-9.563566099876544,-1.849496042730042,2.7273227386165053,4.990264888809555,3.086149719121883,-10.59003448,21.91646004,-34.9621315,2.05722928,-20.22473526,9.891928673,2,2,3,TreppeHoch
0.49279825327105986,-9.244162026394438,-2.1747665148079576,2.1271319146198424,4.157483573538386,3.2832398150286335,-4.633102894,8.751151085,-23.13081741,-0.2703889608,-14.24746418,5.688337803,0,0,0,TreppeHoch
0.389672431195274,-9.616311613668495,-1.7434435089822053,2.160948684187718,4.298442767129077,3.003883549066976,-10.1527462,13.01216984,-30.98107147,1.710269928,-18.05145454,7.663612843,2,3,3,TreppeHoch
3.9854115706211277,-9.310029298220735,1.3721966408304707,3.8759009961332267,4.096498569277786,2.629005265035024,-6.661618233,21.16930199,-30.13042259,-0.3086741269,-23.35394859,14.9216423,2,2,1,TreppeHoch
3.956963093330428,-9.146966920827811,1.498324373498988,3.1666166191984897,3.6540481480173157,2.7495355796905603,-4.223331928,20.06142426,-29.77867699,-0.8877372146,-40.69234085,12.0287199,3,2,2,TreppeHoch
3.6372850376719428,-9.374968510337371,1.2862371475532228,3.333728772613312,3.660345048973181,2.6898369320994138,-7.470392227,17.78345871,-29.26422119,-0.9595218897,-23.78465652,12.71545982,2,2,2,TreppeHoch
1.2470313805916442,-9.709037877262777,2.070799647602819,2.5588383981248555,4.53339909397422,2.939702587936813,-18.63467026,19.8269825,-33.42634964,2.952050686,-9.172486305,37.61889267,1,2,2,TreppeHoch
1.3470014391738219,-9.608666314440713,1.9950599194587142,2.8316475927320255,3.207331690302752,3.5164499860668266,-10.11101341,13.67358494,-29.15509224,-0.1340752989,-13.47007847,33.48381042,2,2,2,TreppeHoch
3.6715690554834723,-9.281044303530832,1.4563177848997777,3.192354942834691,3.489256000908267,2.3579368201320396,-5.5154562,23.54537392,-27.68974304,-1.478764415,-20.50888252,11.02373409,2,2,2,TreppeHoch
3.86321143051929,-9.254439473062869,1.393214290748375,3.4317566145231093,3.6684472973558355,2.7105851450933094,-7.470392227,17.65903091,-27.06521606,-1.428515077,-17.35514259,11.7966156,3,2,2,TreppeHoch
1.2098766969390728,-9.34195910772641,2.245002535781652,1.9433681903262703,2.9575532161423856,2.931767533781606,-6.6753335,17.80148888,-29.6818161,0.3112462163,-15.38334465,31.97546196,2,3,3,TreppeHoch
1.5503687986937267,-9.155394680962738,2.5782367022495163,2.246447029606465,4.18765337608142,2.505713739221367,-10.77660084,12.25382328,-24.28977394,1.89860189,-6.421548367,22.94902229,3,3,3,TreppeHoch
1.8112201538871364,-9.664691902148883,1.8332134949236647,2.7270038068433564,4.483012446646616,2.953174540279577,-13.79329491,13.7334404,-29.83983421,2.169146776,-11.30571938,34.06799316,2,1,1,TreppeHoch
-1.8202605276988841,-9.685434318517597,-0.767436223032146,2.258759253496784,4.785303894694052,2.86623858574242,-14.91019409,11.70984924,-36.86653564,6.781497803,-19.35774536,12.699142,1,1,1,TreppeHoch
1.8327370883893868,-9.69285363013218,-1.503217423959499,3.2293516070847987,5.180880312614795,2.9223754798191597,-14.64586926,26.36352158,-48.80939484,2.435295343,-18.92064667,10.36451149,3,3,3,TreppeHoch
3.857241967343856,-9.304666724149476,1.4274484997097696,3.5776692277291215,3.9629081398387638,2.8471114596205256,-6.587440968,18.89133453,-31.60918617,-0.5359922647,-24.6723938,13.85683632,2,2,2,TreppeHoch
0.7712695153590472,-9.847796966455318,-1.9985577033340252,3.15164481683095,6.6539165881969575,3.6504198368932865,-14.37909851,13.27649139,-45.13489151,7.688312073,-21.24487106,13.30074097,0,0,0,TreppeHoch
-1.9664010132947216,-9.604775696744428,-1.1803999471044813,2.585566637256664,5.3285549655376485,3.6479699361716142,-14.85421051,8.347690887,-30.8354274,4.831353149,-23.20654175,18.38222397,1,1,1,TreppeHoch
