Mean X,Mean Y,Mean Z,Standardabweichung X,Standardabweichung Y,Standardabweichung Z,Min X,Max X,Min Y,Max Y,Min Z,Max Z,Lokale Peaks X,Lokale Peaks Y,Lokale Peaks Z,Label
3.385366264554435,-11.510525943517306,-0.43537956968624014,6.895365566955785,17.50984992092055,7.581958902003703,-16.23051643,26.41197586,-78.3984375,15.81655788,-43.55176544,19.57328987,227,151,286,Laufen
2.8438645465104506,-11.799717283305776,-0.6744584393659778,7.417115528966597,18.664759992901505,7.578293708463345,-20.45624161,30.23570633,-78.3984375,14.03151226,-45.86562347,18.00599098,261,175,294,Laufen
0.7241811414926979,-11.088067390675638,-0.7471941022043364,5.979254845239671,13.937868594902852,8.465507042544717,-30.75435066,18.97867203,-66.68078613,6.610172749,-64.14678955,19.04627037,312,227,359,Laufen
0.31780325664233544,-11.109871118407721,-0.754404576610912,6.2559312913717715,13.786784655890038,8.327194249984696,-33.86083221,21.57548332,-64.52664948,8.06799984,-70.82395935,18.1585331,258,204,296,Laufen
3.4985787196608187,-11.485409110309137,-0.3631262615439016,6.914262212628176,18.257501143250437,7.924584651107679,-14.84507179,29.88874817,-78.3984375,17.92702675,-58.27480316,23.54776764,324,203,385,Laufen
3.162080313568716,-11.61114544034501,-0.5541389167473266,7.136970414741735,18.009380057039447,7.087590279598966,-22.71985054,28.97947502,-78.3984375,13.7611227,-49.68935394,18.79083633,371,236,438,Laufen
-1.7989017255010378,-10.845448776327853,-0.5977668979818939,6.546705160332468,11.963148991363033,8.444640442135553,-37.87359619,16.69412613,-61.19703674,1.206580877,-75.9105072,18.62034798,233,139,240,Laufen
0.5324805617946408,-10.988384386401624,-0.590376262468112,5.911398806026905,13.009579991589685,7.901727184118291,-31.61337471,26.37668228,-57.87041473,5.415555954,-58.95795441,17.45384598,213,176,270,Laufen
-0.18091876534703888,-11.177458245075059,-0.7073412749293675,6.880148558623017,13.697414641313976,7.479655043675296,-41.70450592,16.27956963,-64.60441589,4.745565414,-60.48517227,27.27339172,216,172,273,Laufen
-2.4703613467375707,-14.074662141274306,-1.3258703039467212,7.6507088331962825,20.978559075022154,15.195835047586913,-42.99866486,28.45598412,-78.42926025,15.06491566,-38.8686676,78.41728973,165,130,202,Laufen
-1.3289737177231038,-12.591349221184421,0.12135005826421782,5.544822302686074,19.239280557899733,13.833093351013916,-26.85186958,35.2653923,-78.38137817,16.99464226,-32.71766281,78.39095306,116,90,157,Laufen
-2.6599435593809364,-11.366516827530983,1.554576084479123,7.235385096414301,16.20510411746708,11.347406018520333,-49.18558121,17.21969795,-78.29039764,26.15755081,-20.61946297,77.89774323,248,197,289,Laufen
-1.310421709138282,-13.337946231649193,-0.07960411559067121,6.147795454972801,20.91702026764102,14.638608051296536,-26.84468651,26.46400833,-78.42926025,16.87014389,-26.96200371,78.37898254,120,90,152,Laufen
0.5306025122886707,-11.096459723511032,-0.9899767946757966,6.520583421005091,13.443505810375207,9.22965497651044,-42.80340958,23.33361053,-65.33063507,6.230910301,-85.23054504,17.63510323,498,315,542,Laufen
1.3394219288020053,-12.146699595352663,0.7233677106456359,8.257794165884937,18.46298252908975,15.170811637791546,-23.72234917,46.12818527,-73.36761475,15.67064857,-26.35387611,78.37419128,172,135,223,Laufen
7.416367272319614,-15.8965806308359,2.070556709169969,12.102438659593398,19.50747981277177,14.758320347656678,-78.10604095,64.19543457,-78.40771484,32.59316635,-63.2613945,78.40771484,110,78,123,Laufen
3.397731610943828,-11.674005292411543,1.1920614814267003,8.388084321212153,17.062853245233942,15.54443482386065,-30.23727036,39.76888657,-67.10678101,18.64185333,-29.46154976,78.29039764,190,143,259,Laufen
1.3394219288020053,-12.146699595352663,0.7233677106456359,8.257794165884937,18.46298252908975,15.170811637791546,-23.72234917,46.12818527,-73.36761475,15.67064857,-26.35387611,78.37419128,172,135,223,Laufen
-1.595463607247505,-15.409996720472266,1.20171940088212,11.779008022378767,19.084065152281532,10.36158987180803,-29.26863556,44.56936752,-79.14566574,17.63288223,-42.17928772,74.42119034,331,280,432,Laufen
6.545150438239199,-8.960234762819834,1.747685542007792,14.51328910629582,13.270447053712404,11.585998572651254,-31.66170914,78.07763672,-59.90108505,19.59634918,-77.63276184,34.29608093,425,373,571,Laufen
-1.8623514285277647,-15.918143806103872,1.233597482158962,12.33331320285633,18.8487820040087,10.86322408977679,-34.64276001,47.74636093,-79.19745804,18.47907257,-49.48963577,73.32906143,275,255,380,Laufen
0.145234930063325,-10.712332772973566,0.5222070196761053,4.302369652837738,14.300793111773846,5.503338741282374,-13.95937134,26.86673035,-68.14264664,11.54549103,-32.00120316,17.00493805,348,297,449,Laufen
-1.4937962478069626,-16.85850246310195,0.13045146342508038,14.94077248487822,20.32511216757616,12.176354007577741,-62.18638275,40.49903183,-79.17455566,35.91137192,-71.96285248,53.27167099,120,114,155,Laufen
-1.639109143896421,-15.013705048969365,1.0725488832575931,11.307393834869114,18.516163060805187,9.73546312876905,-32.48873932,40.74062943,-79.01768188,19.55563385,-41.89532822,58.21289566,189,168,249,Laufen
-1.8038923950820438,-11.702261030490881,0.1323192375754086,5.156953378728835,16.2924601606577,6.660215148511321,-22.95820816,13.74606491,-79.23398209,19.75262421,-18.23882217,49.31135651,576,432,697,Laufen
-7.891349754767954,-8.504673819046532,-1.0397753892093817,21.325566199065285,18.50313891808067,13.936023706724571,-79.27574524,32.50670197,-76.51967651,26.11140106,-34.9056134,78.13032715,220,163,268,Laufen
