"event","experiment time","system time","system time text"
"START",0.000000000E0,1686652852.661,"2023-06-13 12:40:52.661 UTC+02:00"
"PAUSE",1.886557536E1,1686652871.527,"2023-06-13 12:41:11.527 UTC+02:00"
