"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.276051230E-1,-2.330625153E1,-1.888125038E1,-3.993750000E1
9.376051230E-1,-2.317500114E1,-1.871250153E1,-4.029375076E1
9.476051230E-1,-2.328750038E1,-1.837500000E1,-4.031250000E1
9.576051230E-1,-2.347500038E1,-1.828125000E1,-4.025625229E1
9.676051230E-1,-2.371875000E1,-1.820625114E1,-3.993750000E1
9.776051230E-1,-2.413125038E1,-1.803750038E1,-3.988125229E1
9.876051230E-1,-2.454375076E1,-1.796250153E1,-3.948750305E1
9.976051230E-1,-2.505000114E1,-1.762500000E1,-3.931875229E1
1.007605123E0,-2.576250076E1,-1.730625153E1,-3.913125229E1
1.017605123E0,-2.625000191E1,-1.702500153E1,-3.871875000E1
1.027605123E0,-2.645625114E1,-1.689375114E1,-3.823125076E1
1.037605123E0,-2.701875114E1,-1.655625153E1,-3.808125305E1
1.047605123E0,-2.769375038E1,-1.657500076E1,-3.795000076E1
1.057605123E0,-2.797500038E1,-1.657500076E1,-3.780000305E1
1.067605123E0,-2.866875076E1,-1.601250076E1,-3.774375153E1
1.077605123E0,-2.910000038E1,-1.608750153E1,-3.742500305E1
1.087605123E0,-2.945625114E1,-1.605000114E1,-3.710625076E1
1.097605123E0,-2.996250153E1,-1.597500038E1,-3.716250229E1
1.107605123E0,-3.073125076E1,-1.584375095E1,-3.735000229E1
1.117605123E0,-3.093750191E1,-1.591875076E1,-3.727500153E1
1.127605123E0,-3.123750114E1,-1.586250019E1,-3.720000076E1
1.137605123E0,-3.170625114E1,-1.569375038E1,-3.693750000E1
1.147605123E0,-3.185625076E1,-1.575000095E1,-3.684375000E1
1.157605123E0,-3.191250038E1,-1.548750019E1,-3.710625076E1
1.167605123E0,-3.202500153E1,-1.518750095E1,-3.727500153E1
1.177605123E0,-3.247500229E1,-1.518750095E1,-3.721875000E1
1.187605123E0,-3.228750229E1,-1.516875076E1,-3.693750000E1
1.197605123E0,-3.241875076E1,-1.505625057E1,-3.673125076E1
1.207605123E0,-3.260625076E1,-1.503750038E1,-3.648750305E1
1.217605123E0,-3.260625076E1,-1.496250057E1,-3.646875000E1
1.227605123E0,-3.264375305E1,-1.498125076E1,-3.639375305E1
1.237605123E0,-3.301875305E1,-1.522500038E1,-3.605625153E1
1.247605123E0,-3.333750153E1,-1.539375019E1,-3.579375076E1
1.257605123E0,-3.315000153E1,-1.537500095E1,-3.540000153E1
1.267605123E0,-3.337500000E1,-1.550625038E1,-3.526875305E1
1.277605123E0,-3.367500305E1,-1.560000038E1,-3.513750076E1
1.287605123E0,-3.388125229E1,-1.543125057E1,-3.487500000E1
1.297605123E0,-3.431250000E1,-1.588125038E1,-3.444375229E1
1.307605123E0,-3.459375000E1,-1.597500038E1,-3.391875076E1
1.317605123E0,-3.453750229E1,-1.608750153E1,-3.316875076E1
1.327605123E0,-3.468750000E1,-1.618125153E1,-3.279375076E1
1.337605123E0,-3.523125076E1,-1.620000076E1,-3.256875229E1
1.347605123E0,-3.566250229E1,-1.642500114E1,-3.176250076E1
1.357605123E0,-3.609375000E1,-1.651875114E1,-3.116250038E1
1.367605123E0,-3.637500000E1,-1.666875076E1,-3.067500114E1
1.377605123E0,-3.690000153E1,-1.648125076E1,-3.009375191E1
1.387605123E0,-3.750000000E1,-1.638750076E1,-2.943750191E1
1.397605123E0,-3.815625000E1,-1.616250038E1,-2.902500153E1
1.407605123E0,-3.877500153E1,-1.621875000E1,-2.823750114E1
1.417605123E0,-3.931875229E1,-1.625625038E1,-2.716875076E1
1.427605123E0,-3.978750229E1,-1.614375114E1,-2.668125153E1
1.437605123E0,-4.006875229E1,-1.597500038E1,-2.593125153E1
1.447605123E0,-4.040625000E1,-1.584375095E1,-2.523750114E1
1.457605123E0,-4.081875229E1,-1.558125019E1,-2.456250191E1
1.467605123E0,-4.100625229E1,-1.558125019E1,-2.400000000E1
1.477605123E0,-4.141875076E1,-1.533750057E1,-2.343750000E1
1.487605123E0,-4.155000305E1,-1.500000095E1,-2.287500000E1
1.497605123E0,-4.175625229E1,-1.464375019E1,-2.255625153E1
1.507605123E0,-4.194375229E1,-1.419375038E1,-2.205000114E1
1.517605123E0,-4.239375305E1,-1.398750019E1,-2.152500153E1
1.527605123E0,-4.265625000E1,-1.387500095E1,-2.098125076E1
1.537605123E0,-4.288125229E1,-1.376250076E1,-2.025000000E1
1.547605123E0,-4.327500153E1,-1.374375057E1,-1.951875114E1
1.557605123E0,-4.357500076E1,-1.393125057E1,-1.876875114E1
1.567605123E0,-4.385625076E1,-1.385625076E1,-1.818750000E1
1.577605123E0,-4.413750076E1,-1.410000038E1,-1.764375114E1
1.587605123E0,-4.451250076E1,-1.436250019E1,-1.698750114E1
1.597605123E0,-4.471875000E1,-1.436250019E1,-1.657500076E1
1.607605123E0,-4.509375000E1,-1.425000095E1,-1.593750095E1
1.617605123E0,-4.516875076E1,-1.426875019E1,-1.563750076E1
1.627605123E0,-4.513125229E1,-1.411875057E1,-1.530000019E1
1.637605123E0,-4.503750229E1,-1.402500057E1,-1.500000095E1
1.647605123E0,-4.518750000E1,-1.408125019E1,-1.451250076E1
1.657605123E0,-4.522500229E1,-1.389375019E1,-1.391250038E1
1.667605123E0,-4.530000305E1,-1.365000057E1,-1.350000095E1
1.677605123E0,-4.546875000E1,-1.372500038E1,-1.301250076E1
1.687605123E0,-4.546875000E1,-1.370625019E1,-1.252500057E1
1.697605123E0,-4.569375229E1,-1.366875076E1,-1.222500038E1
1.707605123E0,-4.620000076E1,-1.338750076E1,-1.164375019E1
1.717605123E0,-4.659375000E1,-1.306875038E1,-1.117500019E1
1.727605123E0,-4.691250229E1,-1.286250019E1,-1.050000000E1
1.737605123E0,-4.721250153E1,-1.288125038E1,-9.862500191E0
1.747605123E0,-4.753125000E1,-1.248750019E1,-9.206250191E0
1.757605123E0,-4.760625076E1,-1.213125038E1,-8.531250000E0
1.767605123E0,-4.803750229E1,-1.175625038E1,-8.231250763E0
1.777605123E0,-4.822500229E1,-1.123125076E1,-7.687500477E0
1.787605123E0,-4.818750381E1,-1.085625076E1,-7.462500095E0
1.797605123E0,-4.811250305E1,-1.027500057E1,-7.237500191E0
1.807605123E0,-4.818750381E1,-9.600000381E0,-7.331250191E0
1.817605123E0,-4.826250076E1,-8.775000572E0,-7.331250191E0
1.827605123E0,-4.867500305E1,-8.325000763E0,-7.500000477E0
1.837605123E0,-4.873125076E1,-7.650000095E0,-7.556250095E0
1.847605123E0,-4.865625381E1,-6.750000477E0,-7.668750286E0
1.857605123E0,-4.865625381E1,-5.925000191E0,-7.781250477E0
1.867605123E0,-4.867500305E1,-5.118750095E0,-7.931250095E0
1.877605123E0,-4.882500076E1,-4.143750191E0,-7.762500286E0
1.887605123E0,-4.886250305E1,-3.262500048E0,-7.518750191E0
1.897605123E0,-4.890000153E1,-2.231250048E0,-7.443750381E0
1.907605123E0,-4.856250381E1,-1.143750072E0,-7.331250191E0
1.917605123E0,-4.856250381E1,1.875000000E-1,-7.218750477E0
1.927605123E0,-4.861875153E1,1.443750024E0,-7.068750381E0
1.937605123E0,-4.878750229E1,2.625000000E0,-6.825000286E0
1.947605123E0,-4.865625381E1,3.825000048E0,-6.562500477E0
1.957605123E0,-4.850625229E1,4.743750095E0,-6.525000095E0
1.967605123E0,-4.856250381E1,5.775000095E0,-6.712500095E0
1.977605123E0,-4.831875229E1,6.862500191E0,-6.993750095E0
1.987605123E0,-4.837500381E1,8.137500763E0,-7.368750095E0
1.997605123E0,-4.831875229E1,9.037500381E0,-7.687500477E0
2.007605123E0,-4.835625076E1,9.506250381E0,-7.706250191E0
2.017605123E0,-4.813125229E1,1.018125057E1,-7.968750477E0
2.027605123E0,-4.816875076E1,1.059375000E1,-8.081250191E0
2.037605123E0,-4.841250229E1,1.130625057E1,-8.287500381E0
2.047605123E0,-4.815000153E1,1.194375038E1,-8.175000191E0
2.057605123E0,-4.815000153E1,1.260000038E1,-7.856250286E0
2.067605123E0,-4.783125305E1,1.297500038E1,-7.293750286E0
2.077605123E0,-4.770000076E1,1.340625095E1,-6.956250191E0
2.087605123E0,-4.743750000E1,1.396875095E1,-6.656250477E0
2.097605123E0,-4.732500076E1,1.468125057E1,-5.943750381E0
2.107605123E0,-4.728750229E1,1.560000038E1,-5.137500286E0
2.117605123E0,-4.678125000E1,1.635000038E1,-4.443750381E0
2.127605123E0,-4.642500305E1,1.728750038E1,-3.900000095E0
2.137605123E0,-4.644375229E1,1.815000153E1,-3.656250238E0
2.147605123E0,-4.633125305E1,1.897500038E1,-3.543750048E0
2.157605123E0,-4.593750000E1,2.004375076E1,-3.243750095E0
2.167605123E0,-4.539375305E1,2.130000114E1,-3.393750191E0
2.177605123E0,-4.471875000E1,2.244375038E1,-3.881250143E0
2.187605123E0,-4.398750305E1,2.364375114E1,-4.462500095E0
2.197605123E0,-4.325625229E1,2.491875076E1,-4.931250095E0
2.207605123E0,-4.267500305E1,2.581875038E1,-5.137500286E0
2.217605123E0,-4.183125305E1,2.711250114E1,-5.437500000E0
2.227605123E0,-4.096875000E1,2.846250153E1,-5.268750191E0
2.237605123E0,-4.029375076E1,2.960625076E1,-5.306250095E0
2.247605123E0,-3.963750076E1,3.071250153E1,-4.781250000E0
2.257605123E0,-3.918750000E1,3.153750038E1,-4.256250381E0
2.267605123E0,-3.864375305E1,3.206250000E1,-3.937500238E0
2.277605123E0,-3.813750076E1,3.270000076E1,-3.375000238E0
2.287605123E0,-3.740625000E1,3.360000229E1,-3.206250191E0
2.297605123E0,-3.654375076E1,3.429375076E1,-2.793750048E0
2.307605123E0,-3.562500000E1,3.504375076E1,-2.925000191E0
2.317605123E0,-3.446250153E1,3.568125153E1,-3.093750238E0
2.327605123E0,-3.326250076E1,3.663750076E1,-3.356250048E0
2.337605123E0,-3.176250076E1,3.781875229E1,-3.731250048E0
2.347605123E0,-3.016875076E1,3.926250076E1,-4.237500191E0
2.357605123E0,-2.857500076E1,4.046250153E1,-4.837500095E0
2.367605123E0,-2.694375038E1,4.175625229E1,-5.475000381E0
2.377605123E0,-2.529375076E1,4.260000229E1,-6.131250381E0
2.387605123E0,-2.400000000E1,4.368750000E1,-6.187500477E0
2.397605123E0,-2.283750153E1,4.455000305E1,-6.243750095E0
2.407605123E0,-2.195625114E1,4.501875305E1,-6.206250191E0
2.417605123E0,-2.150625038E1,4.511250305E1,-6.018750191E0
2.427605123E0,-2.154375076E1,4.501875305E1,-5.456250191E0
2.437605123E0,-2.158125114E1,4.511250305E1,-4.837500095E0
2.447605123E0,-2.184375000E1,4.479375076E1,-4.200000286E0
2.457605123E0,-2.236875153E1,4.477500153E1,-3.562500238E0
2.467605123E0,-2.270625114E1,4.436250305E1,-3.393750191E0
2.477605123E0,-2.326875114E1,4.413750076E1,-3.000000000E0
2.487605123E0,-2.370000076E1,4.389375305E1,-2.981250048E0
2.497605123E0,-2.383125114E1,4.381875229E1,-3.300000191E0
2.507605123E0,-2.381250000E1,4.389375305E1,-3.543750048E0
2.517605123E0,-2.398125076E1,4.378125000E1,-3.993750095E0
2.527605123E0,-2.428125191E1,4.380000305E1,-4.387500286E0
2.537605123E0,-2.443125153E1,4.351875305E1,-4.462500095E0
2.547605123E0,-2.450625038E1,4.344375229E1,-4.312500000E0
2.557605123E0,-2.473125076E1,4.327500153E1,-4.350000381E0
2.567605123E0,-2.482500076E1,4.314375305E1,-4.256250381E0
2.577605123E0,-2.503125191E1,4.303125000E1,-3.918750048E0
2.587605123E0,-2.546250153E1,4.297500229E1,-4.050000191E0
2.597605123E0,-2.589375114E1,4.280625153E1,-3.656250238E0
2.607605123E0,-2.623125076E1,4.250625229E1,-3.600000143E0
2.617605123E0,-2.658750153E1,4.230000305E1,-3.825000048E0
2.627605123E0,-2.681250191E1,4.207500076E1,-4.068750381E0
2.637605123E0,-2.718750191E1,4.196250153E1,-4.350000381E0
2.647605123E0,-2.739375114E1,4.185000229E1,-4.706250191E0
2.657605123E0,-2.773125076E1,4.175625229E1,-5.043750286E0
2.667605123E0,-2.748750114E1,4.134375000E1,-5.231250286E0
2.677605123E0,-2.758125114E1,4.121250153E1,-5.887500286E0
2.687605123E0,-2.778750038E1,4.106250000E1,-6.337500095E0
2.697605123E0,-2.805000114E1,4.081875229E1,-6.712500095E0
2.707605123E0,-2.846250153E1,4.061250305E1,-7.012500286E0
2.717605123E0,-2.881875038E1,4.040625000E1,-7.331250191E0
2.727605123E0,-2.938125038E1,4.018125153E1,-7.668750286E0
2.737605123E0,-2.983125114E1,3.990000153E1,-7.912500381E0
