"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.685440182390823E9,"2023-05-30 11:49:42.391 UTC+02:00"
"PAUSE",3.758177820831770E1,1.685440219971996E9,"2023-05-30 11:50:19.972 UTC+02:00"
