"event","experiment time","system time","system time text"
"START",0.000000000E0,1686652700.049,"2023-06-13 12:38:20.049 UTC+02:00"
"PAUSE",4.700237691E1,1686652747.052,"2023-06-13 12:39:07.052 UTC+02:00"
