"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.698232410E-1,1.351538301E-2,-1.927278340E-1,-2.313650399E-2
3.745776680E-1,-7.864884101E-3,-1.951712966E-1,-1.030834299E-2
3.793320960E-1,-2.680169232E-2,-2.018908113E-1,4.352411721E-3
3.840865230E-1,-4.268417507E-2,-2.079994529E-1,2.512181364E-2
3.888409500E-1,-5.429060757E-2,-2.147189677E-1,5.077813566E-2
3.935953770E-1,-6.467530876E-2,-2.470948100E-1,7.521272451E-2
3.983498040E-1,-6.772962958E-2,-2.977965772E-1,9.476039559E-2
4.031042310E-1,-5.917752534E-2,-3.466657698E-1,1.136972085E-1
4.078587100E-1,-4.146244749E-2,-3.820959330E-1,1.259144992E-1
4.126131370E-1,-1.824958436E-2,-4.114174247E-1,1.332448870E-1
4.173675640E-1,9.239329956E-3,-4.419606626E-1,1.344666034E-1
4.221219910E-1,3.856083751E-2,-4.761691093E-1,1.320231557E-1
4.268764180E-1,6.666062027E-2,-5.097666383E-1,1.265253723E-1
4.316308460E-1,9.353867173E-2,-5.354229808E-1,1.167515293E-1
4.363852730E-1,1.161406636E-1,-5.519163013E-1,1.057559624E-1
4.411397000E-1,1.344666034E-1,-5.549706817E-1,9.048434347E-2
4.458941270E-1,1.436295807E-1,-5.458076596E-1,7.154753804E-2
4.506485540E-1,1.466839015E-1,-5.280926228E-1,4.955640435E-2
4.554029810E-1,1.454621702E-1,-5.042688847E-1,2.817613818E-2
4.601574080E-1,1.411861181E-1,-4.786125422E-1,1.046105940E-2
4.649118870E-1,1.332448870E-1,-4.517345130E-1,-4.810560029E-3
4.696663140E-1,1.222493127E-1,-4.230238497E-1,-1.519526169E-2
4.744207410E-1,1.075885594E-1,-3.924806118E-1,-2.313650399E-2
4.791751680E-1,9.292780608E-2,-3.601047993E-1,-2.863428742E-2
4.839295960E-1,7.704532146E-2,-3.283398151E-1,-3.291033953E-2
4.886840230E-1,6.116283685E-2,-2.959639728E-1,-3.535379842E-2
4.934384500E-1,4.711294547E-2,-2.611446977E-1,-3.779725730E-2
4.981928770E-1,3.428478539E-2,-2.232710719E-1,-3.962985426E-2
5.029473040E-1,2.023489587E-2,-1.835648715E-1,-4.329504073E-2
5.077017310E-1,8.017600514E-3,-1.426369250E-1,-4.573849961E-2
5.124561580E-1,-4.199695308E-3,-1.035415828E-1,-4.940368980E-2
5.172105850E-1,-1.580612548E-2,-6.750056148E-2,-5.184714869E-2
5.219650640E-1,-2.802342176E-2,-4.001164436E-2,-5.184714869E-2
5.267194910E-1,-3.779725730E-2,-1.863137633E-2,-5.123628303E-2
5.314739180E-1,-4.696023092E-2,-5.192350596E-3,-4.879282415E-2
5.362283460E-1,-5.245801434E-2,1.527161920E-3,-4.512763396E-2
5.409827730E-1,-5.490147322E-2,-2.138026757E-3,-3.718639165E-2
5.457372000E-1,-5.429060757E-2,-6.414080039E-3,-3.046688065E-2
5.504916270E-1,-5.734493211E-2,-7.635809947E-3,-2.741255611E-2
5.552460540E-1,-5.978839099E-2,-1.007926930E-2,-2.557996288E-2
5.600004810E-1,-5.856665969E-2,-1.740964688E-2,-2.191477455E-2
5.647549080E-1,-5.367974192E-2,-2.901607752E-2,-1.824958436E-2
5.695093350E-1,-4.634936526E-2,-3.817904741E-2,-1.336266659E-2
5.742637620E-1,-3.535379842E-2,-4.428769648E-2,-8.475748822E-3
5.790181890E-1,-2.374736778E-2,-4.917461425E-2,-1.756236190E-3
5.837726680E-1,-1.214093715E-2,-5.283980444E-2,5.574141163E-3
5.885270960E-1,7.635809743E-5,-5.711585656E-2,1.412624773E-2
5.932815230E-1,1.168278884E-2,-6.261363626E-2,2.390008420E-2
5.980359500E-1,2.145662531E-2,-6.933315098E-2,3.550651670E-2
6.027903770E-1,3.123046272E-2,-7.360920310E-2,4.589121789E-2
6.075448040E-1,3.917170316E-2,-7.544180006E-2,5.688678101E-2
6.122992310E-1,4.650207981E-2,-7.177661359E-2,6.177370250E-2
6.170536580E-1,5.016727000E-2,-6.566796452E-2,6.543888897E-2
6.218080850E-1,4.894553870E-2,-6.078104675E-2,6.543888897E-2
6.265625120E-1,4.344775900E-2,-5.894844979E-2,6.482802331E-2
6.313169390E-1,3.489565104E-2,-5.833758786E-2,6.421715766E-2
6.360713660E-1,2.390008420E-2,-6.261363626E-2,6.543888897E-2
6.408257930E-1,1.229365356E-2,-6.627883017E-2,6.543888897E-2
6.455802210E-1,7.635809743E-5,-6.994401664E-2,6.604975462E-2
6.503346480E-1,-1.336266659E-2,-7.238747925E-2,6.299543381E-2
6.550891270E-1,-2.680169232E-2,-7.299833745E-2,5.627591908E-2
6.598435540E-1,-3.840812296E-2,-7.360920310E-2,4.833467677E-2
6.645979810E-1,-4.940368980E-2,-7.116574794E-2,4.039343446E-2
6.693524080E-1,-5.917752534E-2,-6.872228533E-2,3.184132650E-2
6.741068350E-1,-6.528617442E-2,-6.566796452E-2,2.328922041E-2
6.788612620E-1,-7.139482349E-2,-6.200277433E-2,1.656970754E-2
6.836156890E-1,-7.322741300E-2,-6.017018110E-2,1.107192412E-2
6.883701160E-1,-7.444914430E-2,-6.200277433E-2,6.795870606E-3
6.931245430E-1,-7.322741300E-2,-6.322450191E-2,3.130682046E-3
6.978789710E-1,-7.017309219E-2,-5.894844979E-2,3.741546767E-3
7.026333980E-1,-6.345357746E-2,-5.161807314E-2,6.185005885E-3
7.073878250E-1,-5.367974192E-2,-4.734202102E-2,1.046105940E-2
7.121422520E-1,-4.451677203E-2,-4.734202102E-2,1.473711245E-2
7.168966790E-1,-3.229947388E-2,-4.917461425E-2,1.779143699E-2
7.216511060E-1,-2.008217946E-2,-5.161807314E-2,1.840230078E-2
7.264055330E-1,-9.697478265E-3,-5.283980444E-2,1.595884189E-2
7.311599600E-1,7.635809743E-5,-4.917461425E-2,1.107192412E-2
7.359143870E-1,7.406735327E-3,-4.367683083E-2,4.963276442E-3
7.406688660E-1,1.290451828E-2,-3.573558852E-2,1.908952487E-3
7.454232930E-1,1.656970754E-2,-3.023780696E-2,1.908952487E-3
7.501777210E-1,1.656970754E-2,-2.657261863E-2,3.741546767E-3
7.549321480E-1,1.290451828E-2,-2.290742844E-2,5.574141163E-3
7.596865750E-1,3.741546767E-3,-1.863137633E-2,4.963276442E-3
7.644410020E-1,-6.032289471E-3,-1.252272818E-2,2.519817324E-3
7.691954290E-1,-1.763872057E-2,-3.359756200E-3,-5.345066893E-4
7.739498560E-1,-2.619082667E-2,6.414080039E-3,7.635809743E-5
7.787042830E-1,-3.168861195E-2,1.618791744E-2,-1.145371469E-3
7.834587100E-1,-3.474293277E-2,2.596175298E-2,-1.145371469E-3
7.882131370E-1,-3.657552972E-2,3.512472659E-2,-1.145371469E-3
7.929675640E-1,-3.596466407E-2,4.062250629E-2,-1.756236190E-3
7.977219910E-1,-3.718639165E-2,4.123337194E-2,-1.145371469E-3
8.024764180E-1,-3.535379842E-2,3.878991306E-2,1.908952487E-3
8.072308460E-1,-3.229947388E-2,3.634645417E-2,5.574141163E-3
8.119852730E-1,-2.619082667E-2,3.573558852E-2,1.168278884E-2
8.167397000E-1,-1.886045001E-2,3.573558852E-2,1.840230078E-2
8.214941270E-1,-1.091920771E-2,3.451386094E-2,2.451094985E-2
8.262485540E-1,-2.367100911E-3,3.023780696E-2,3.123046272E-2
8.310029810E-1,5.574141163E-3,2.290742844E-2,3.367391974E-2
8.357574080E-1,1.229365356E-2,1.313359290E-2,3.672824427E-2
8.405118350E-1,1.840230078E-2,3.970621154E-3,3.856083751E-2
8.452662620E-1,2.206749097E-2,-5.192350596E-3,4.039343446E-2
8.500207410E-1,2.328922041E-2,-1.496618707E-2,4.100430012E-2
8.547751680E-1,2.328922041E-2,-2.168569900E-2,3.978256881E-2
8.595295960E-1,2.206749097E-2,-2.596175298E-2,3.856083751E-2
8.642840230E-1,1.901316643E-2,-2.535088919E-2,3.489565104E-2
8.690384500E-1,1.229365356E-2,-2.046396956E-2,3.184132650E-2
8.737928770E-1,5.574141163E-3,-1.313359290E-2,2.939786762E-2
8.785473040E-1,-3.588830587E-3,-8.246674202E-3,2.817613818E-2
8.833017310E-1,-9.697478265E-3,-5.803215317E-3,3.245219216E-2
8.880561580E-1,-1.641699113E-2,-3.359756200E-3,3.611737862E-2
8.928105850E-1,-1.886045001E-2,9.162971983E-4,3.856083751E-2
8.975650120E-1,-2.008217946E-2,6.414080039E-3,4.100430012E-2
9.023194390E-1,-1.824958436E-2,1.069013402E-2,3.978256881E-2
9.070738660E-1,-1.519526169E-2,1.374445762E-2,3.672824427E-2
9.118282930E-1,-1.153007243E-2,1.557705179E-2,3.184132650E-2
9.165827210E-1,-7.254019380E-3,1.679878123E-2,2.634354308E-2
9.213371480E-1,-2.367100911E-3,1.618791744E-2,2.084576152E-2
9.260915750E-1,3.130682046E-3,1.374445762E-2,1.534797717E-2
9.308460020E-1,9.850194678E-3,1.130099874E-2,9.850194678E-3
9.356004290E-1,1.595884189E-2,7.024944760E-3,4.963276442E-3
9.403548560E-1,1.901316643E-2,-3.054323897E-4,1.298087649E-3
9.451092830E-1,2.206749097E-2,-1.007926930E-2,-2.367100911E-3
9.498637100E-1,2.206749097E-2,-2.168569900E-2,-6.032289471E-3
9.546181370E-1,1.840230078E-2,-3.451386094E-2,-1.030834299E-2
9.593725640E-1,1.229365356E-2,-4.795288667E-2,-1.397353224E-2
9.641269910E-1,3.130682046E-3,-6.017018110E-2,-1.458439697E-2
