"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.529377810E-1,1.430263519E0,-1.949956775E0,2.848462582E0
3.576930410E-1,1.667889953E0,-2.061134100E0,2.879616499E0
3.624483020E-1,1.895131588E0,-2.223624229E0,2.872897148E0
3.672035620E-1,2.100993156E0,-2.420933485E0,2.808145285E0
3.719588220E-1,2.268369913E0,-2.606636286E0,2.668257475E0
3.767140830E-1,2.402760267E0,-2.759352684E0,2.452622175E0
3.814692910E-1,2.505996466E0,-2.792950153E0,2.136194229E0
3.862245520E-1,2.557919979E0,-2.678718328E0,1.701258421E0
3.909798120E-1,2.538983107E0,-2.497902393E0,1.171638608E0
3.957350720E-1,2.428416491E0,-2.375729561E0,6.090322137E-1
4.004903330E-1,2.240880966E0,-2.394055367E0,5.681042373E-2
4.052455930E-1,2.041128397E0,-2.460639715E0,-4.495964646E-1
4.100008540E-1,1.876194835E0,-2.490571976E0,-8.765909672E-1
4.147561140E-1,1.744858861E0,-2.511341572E0,-1.216842651E0
4.195113740E-1,1.636735797E0,-2.524169683E0,-1.494786143E0
4.242666350E-1,1.548160434E0,-2.494848013E0,-1.722027779E0
4.290218950E-1,1.466304541E0,-2.481409073E0,-1.909563303E0
4.337771560E-1,1.388113856E0,-2.533943415E0,-2.055559874E0
4.385324160E-1,1.322751284E0,-2.663446903E0,-2.161239624E0
4.432876770E-1,1.292818904E0,-2.850371361E0,-2.217439175E0
4.480429370E-1,1.306868792E0,-3.093495607E0,-2.216828346E0
4.527981970E-1,1.362457514E0,-3.437412500E0,-2.156352758E0
4.575534580E-1,1.452254653E0,-3.902891397E0,-2.029903650E0
4.623087180E-1,1.560377717E0,-4.458778381E0,-1.841757298E0
4.670639790E-1,1.676442027E0,-5.027493477E0,-1.595578790E0
4.718192390E-1,1.796782374E0,-5.506411552E0,-1.294422507E0
4.765744990E-1,1.926285744E0,-5.828948021E0,-9.621120095E-1
4.813297600E-1,2.075947523E0,-5.946845055E0,-6.157516837E-1
4.860850200E-1,2.246989727E0,-5.841776371E0,-2.687804997E-1
4.908402810E-1,2.437579632E0,-5.512520313E0,7.208204269E-2
4.955955410E-1,2.633056164E0,-5.047652245E0,3.995055556E-1
5.003508020E-1,2.819980860E0,-4.561403751E0,7.159335017E-1
5.051060620E-1,2.988579512E0,-4.149680614E0,1.025641918E0
5.098613220E-1,3.133965492E0,-3.884565592E0,1.321911335E0
5.146165830E-1,3.243921041E0,-3.806985617E0,1.588248372E0
5.193717910E-1,3.305618286E0,-3.928547859E0,1.800218463E0
5.241270520E-1,3.330053091E0,-4.161287308E0,1.954767346E0
5.288823120E-1,3.331274748E0,-4.418461323E0,2.062890291E0
5.336375720E-1,3.304396629E0,-4.661585331E0,2.138637543E0
5.383928330E-1,3.251251459E0,-4.853396893E0,2.181398153E0
5.431480930E-1,3.173671722E0,-4.984733105E0,2.194837093E0
5.479033540E-1,3.080820084E0,-5.076362610E0,2.176511288E0
5.526586140E-1,2.978194952E0,-5.167992592E0,2.118479013E0
5.574138740E-1,2.867017508E0,-5.232744217E0,2.026849270E0
5.621691350E-1,2.740568399E0,-5.229078770E0,1.923613191E0
5.669243950E-1,2.598237038E0,-5.164937973E0,1.837481260E0
5.716796560E-1,2.431470871E0,-5.061701775E0,1.800218463E0
5.764349160E-1,2.240270138E0,-4.925478935E0,1.839313865E0
5.811901770E-1,2.025856733E0,-4.747717381E0,1.961486816E0
5.859454370E-1,1.789451957E0,-4.529638767E0,2.152076721E0
5.907006970E-1,1.529223561E0,-4.279184341E0,2.373820543E0
5.954559580E-1,1.261053920E0,-3.952371597E0,2.607781649E0
6.002112180E-1,9.941060543E-1,-3.571191788E0,2.838688612E0
6.049664790E-1,7.448732257E-1,-3.179016590E0,3.049437046E0
6.097217390E-1,5.139663815E-1,-2.835710764E0,3.207040071E0
6.144769990E-1,3.050506115E-1,-2.558377981E0,3.294393778E0
6.192322600E-1,1.266780794E-1,-2.353127480E0,3.322493553E0
6.239875200E-1,-1.015562657E-2,-2.230343580E0,3.306611061E0
6.287427810E-1,-1.030070707E-1,-2.190026522E0,3.254076719E0
6.334980410E-1,-1.567631811E-1,-2.227900267E0,3.177718639E0
6.382533020E-1,-1.866955459E-1,-2.338466644E0,3.094030142E0
6.430085620E-1,-1.964693815E-1,-2.497291565E0,2.995680809E0
6.477638220E-1,-1.952476501E-1,-2.681772709E0,2.870453596E0
6.525190830E-1,-1.824194938E-1,-2.858923435E0,2.737285137E0
6.572743430E-1,-1.702021956E-1,-3.048291683E0,2.623053312E0
6.620296040E-1,-1.598175019E-1,-3.236438036E0,2.547306061E0
6.667848640E-1,-1.537088454E-1,-3.380602121E0,2.517984629E0
6.715401240E-1,-1.445458829E-1,-3.441688538E0,2.539364815E0
6.762953330E-1,-1.280525327E-1,-3.387321472E0,2.602894783E0
6.810505930E-1,-1.048396677E-1,-3.244379282E0,2.685972452E0
6.858058540E-1,-7.002037764E-2,-3.046458960E0,2.772104263E0
6.905611140E-1,-9.544761851E-3,-2.800891399E0,2.857014656E0
6.953163740E-1,7.841976732E-2,-2.536386967E0,2.932761908E0
7.000716350E-1,1.957058012E-1,-2.318308115E0,2.971246243E0
7.048268950E-1,3.423133492E-1,-2.192470074E0,2.954142094E0
7.095821560E-1,5.219075680E-1,-2.150931358E0,2.871675253E0
7.143374160E-1,7.308233380E-1,-2.161315918E0,2.725067854E0
7.190926770E-1,9.605085254E-1,-2.212628603E0,2.519206285E0
7.238479370E-1,1.187750220E0,-2.307923555E0,2.258367062E0
7.286031970E-1,1.401552916E0,-2.427653074E0,1.971260667E0
7.333584580E-1,1.594586134E0,-2.530889034E0,1.693317175E0
7.381137180E-1,1.754021883E0,-2.595640898E0,1.445306063E0
7.428689790E-1,1.865810156E0,-2.617631912E0,1.243720651E0
7.476242390E-1,1.918955326E0,-2.622518778E0,1.102000117E0
7.523794990E-1,1.917122722E0,-2.591975689E0,1.032361507E0
7.571347600E-1,1.877416492E0,-2.497291565E0,1.034194112E0
7.618900200E-1,1.812664866E0,-2.341521025E0,1.098334908E0
7.666452810E-1,1.737528563E0,-2.080070972E0,1.195462346E0
7.714005410E-1,1.633070588E0,-1.613981128E0,1.293200731E0
7.761558020E-1,1.484019637E0,-1.044655085E0,1.387884736E0
7.809110620E-1,1.296484113E0,-4.704422355E-1,1.483179688E0
7.856663220E-1,1.099785686E0,2.741255611E-2,1.539990067E0
7.904215830E-1,9.415717125E-1,3.890444934E-1,1.532659769E0
7.951768430E-1,8.316160440E-1,6.883682609E-1,1.463631988E0
7.999321040E-1,7.858011723E-1,8.807906508E-1,1.325576544E0
8.046873640E-1,8.407790065E-1,7.604503036E-1,1.093447924E0
8.094426240E-1,9.934952259E-1,2.949713171E-1,7.990111113E-1
8.141978850E-1,1.124220252E0,-5.016727000E-2,5.149590373E-1
8.189531450E-1,1.229289055E0,4.024071619E-2,2.675587833E-1
