"event","experiment time","system time","system time text"
"START",0.000000000E0,1686771854.203,"2023-06-14 21:44:14.203 UTC+02:00"
"PAUSE",3.924612110E1,1686771893.449,"2023-06-14 21:44:53.449 UTC+02:00"
