"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686653103190234E9,"2023-06-13 12:45:03.190 UTC+02:00"
"PAUSE",2.364759454166051E1,1.686653126837949E9,"2023-06-13 12:45:26.838 UTC+02:00"
