"event","experiment time","system time","system time text"
"START",0.000000000E0,1686653777.172,"2023-06-13 12:56:17.172 UTC+02:00"
"PAUSE",2.790197588E1,1686653805.074,"2023-06-13 12:56:45.074 UTC+02:00"
