"event","experiment time","system time","system time text"
"START",0.000000000E0,1686041898.774,"2023-06-06 10:58:18.774 UTC+02:00"
"PAUSE",1.875150095E2,1686042086.289,"2023-06-06 11:01:26.289 UTC+02:00"
