"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.202401638E-2,5.322778285E1,1.040241889E1,3.519110107E1,-1.000000000E0,-1.000000000E0,1.414000000E3,1.414000000E3
4.636019468E-1,5.322968318E1,1.040114033E1,3.561944389E1,-1.000000000E0,-1.000000000E0,3.849627370E1,3.849627370E1
2.046211004E0,5.322969480E1,1.040115848E1,3.561938667E1,-1.000000000E0,-1.000000000E0,3.993105512E1,3.993105512E1
3.038657069E0,5.322960640E1,1.040130846E1,3.507829133E1,9.450219274E-1,2.534367053E1,3.286669728E1,3.286669728E1
3.988651991E0,5.322956738E1,1.040139300E1,3.511425026E1,4.218089879E-1,1.215230645E2,2.512431727E1,2.512431727E1
4.938648224E0,5.322953693E1,1.040148399E1,3.514207657E1,3.003904223E-1,8.216192661E1,1.920869334E1,1.920869334E1
5.888643742E0,5.322951551E1,1.040150878E1,3.514619709E1,3.848015070E-1,2.250069505E2,1.626966813E1,1.626966813E1
6.839152813E0,5.322950494E1,1.040154310E1,3.514877316E1,3.991416991E-1,2.693159569E2,1.890871542E1,1.890871542E1
7.788933396E0,5.322949082E1,1.040155932E1,3.513186472E1,3.991416991E-1,2.781223635E2,1.265804090E1,1.265804090E1
8.745928884E0,5.322947379E1,1.040155654E1,3.513197601E1,5.326569080E-1,2.925022294E2,1.333296342E1,1.333296342E1
9.745605469E0,5.322943957E1,1.040155460E1,3.513181483E1,1.126451254E0,2.701409534E2,9.843119000E0,9.843119000E0
1.074584913E1,5.322941499E1,1.040154091E1,3.518776960E1,2.177076578E0,2.560637755E2,9.026912222E0,9.026912222E0
1.174584448E1,5.322940628E1,1.040150298E1,3.522939107E1,2.535950661E0,2.569020948E2,1.057243061E1,1.057243061E1
1.274575257E1,5.322939334E1,1.040146273E1,3.526996486E1,2.535950661E0,2.528456886E2,9.408303779E0,9.408303779E0
1.374583805E1,5.322938662E1,1.040142644E1,3.526996544E1,2.535950661E0,2.528456596E2,9.408303779E0,9.408303779E0
1.474583375E1,5.322939700E1,1.040137639E1,3.532383731E1,2.973252773E0,2.787089893E2,9.148548107E0,9.148548107E0
1.574585688E1,5.322938290E1,1.040132345E1,3.541247879E1,3.016404867E0,2.585250727E2,1.032186074E1,1.032186074E1
1.674537694E1,5.322938238E1,1.040127221E1,3.546888483E1,3.052344084E0,2.629765312E2,1.451692872E1,1.451692872E1
1.774537241E1,5.322937624E1,1.040122529E1,3.552988250E1,3.052344084E0,2.603126417E2,9.599405554E0,9.599405554E0
1.874574113E1,5.322937843E1,1.040117699E1,3.558804352E1,2.965435982E0,2.624292964E2,8.351752887E0,8.351752887E0
1.974531353E1,5.322939381E1,1.040114260E1,3.570131545E1,2.963129282E0,2.852061010E2,1.116345679E1,1.116345679E1
2.074530900E1,5.322937747E1,1.040111602E1,3.555445699E1,2.276391268E0,2.504846112E2,8.388265534E0,8.388265534E0
2.174530458E1,5.322940001E1,1.040106744E1,3.550611546E1,2.845407724E0,2.858460168E2,1.138858028E1,1.138858028E1
2.274529958E1,5.322939900E1,1.040101065E1,3.545874170E1,3.179423571E0,2.769848890E2,1.072496481E1,1.072496481E1
2.374529588E1,5.322940557E1,1.040095784E1,3.543377062E1,3.179423571E0,2.798128228E2,8.524087451E0,8.524087451E0
2.474529123E1,5.322940615E1,1.040088823E1,3.538603773E1,3.600287676E0,2.725639769E2,1.304901938E1,1.304901938E1
2.574528682E1,5.322941245E1,1.040083201E1,3.530308655E1,3.600287676E0,2.743890855E2,1.036445737E1,1.036445737E1
2.674528158E1,5.322943019E1,1.040080878E1,3.527556331E1,2.644026995E0,2.967251430E2,1.094472834E1,1.094472834E1
2.774527705E1,5.322943986E1,1.040075901E1,3.531640869E1,3.007865191E0,2.927416486E2,8.905743360E0,8.905743360E0
2.874527264E1,5.322942929E1,1.040069640E1,3.532690821E1,3.007865191E0,2.765678928E2,1.220954965E1,1.220954965E1
2.974526787E1,5.322941935E1,1.040063219E1,3.541211256E1,3.185223579E0,2.697506926E2,9.126388178E0,9.126388178E0
3.074526346E1,5.322941316E1,1.040058241E1,3.533937125E1,3.185223579E0,2.746902647E2,9.527464118E0,9.527464118E0
3.174525952E1,5.322942083E1,1.040054098E1,3.526897715E1,2.627907276E0,2.862486473E2,7.966841611E0,7.966841611E0
3.274525535E1,5.322943613E1,1.040050763E1,3.530333555E1,2.627907276E0,3.002985718E2,7.996246844E0,7.996246844E0
3.374524999E1,5.322941805E1,1.040048133E1,3.533753256E1,2.445964036E0,2.801166872E2,6.496554747E0,6.496554747E0
3.474524558E1,5.322939624E1,1.040042834E1,3.505669495E1,2.888751921E0,2.539712125E2,6.364521845E0,6.364521845E0
3.574524164E1,5.322936686E1,1.040040943E1,3.512566805E1,2.483449685E0,2.186962337E2,6.214615285E0,6.214615285E0
3.674523675E1,5.322934685E1,1.040041397E1,3.520048896E1,1.677883585E0,1.887949668E2,6.176484614E0,6.176484614E0
3.774523282E1,5.322932278E1,1.040043523E1,3.522356715E1,2.113421262E0,1.571189848E2,6.034560420E0,6.034560420E0
3.874522817E1,5.322932794E1,1.040046709E1,3.516001551E1,1.391878462E0,9.440239543E1,5.794156131E0,5.794156131E0
3.974522340E1,5.322935214E1,1.040049017E1,3.513750275E1,2.150561423E0,3.920151456E1,5.683121673E0,5.683121673E0
4.074521887E1,5.322936233E1,1.040049659E1,3.522819086E1,1.986896919E0,2.765071856E1,5.627095208E0,5.627095208E0
4.174521410E1,5.322937254E1,1.040052215E1,3.512588612E1,2.322176829E0,3.601382314E1,5.587303480E0,5.587303480E0
4.274520934E1,5.322936470E1,1.040055258E1,3.525531161E1,1.852294522E0,6.529751109E1,5.526687675E0,5.526687675E0
4.374520493E1,5.322935645E1,1.040057552E1,3.539347384E1,1.957195830E0,8.928465821E1,5.409638300E0,5.409638300E0
4.474520099E1,5.322934657E1,1.040062071E1,3.541679216E1,2.745687249E0,9.673052439E1,5.347507379E0,5.347507379E0
4.574519622E1,5.322933899E1,1.040066587E1,3.536311665E1,3.146765102E0,9.959944128E1,5.336275023E0,5.336275023E0
4.674519157E1,5.322932692E1,1.040073042E1,3.538775563E1,3.942461527E0,1.044096007E2,5.347573413E0,5.347573413E0
4.774518692E1,5.322933081E1,1.040080038E1,3.571380618E1,4.350003881E0,9.208131404E1,5.338159332E0,5.338159332E0
4.874518251E1,5.322931801E1,1.040085191E1,3.576449867E1,4.090610691E0,1.000266396E2,5.323779641E0,5.323779641E0
4.974517858E1,5.322931079E1,1.040093518E1,3.566078347E1,4.762753017E0,9.594516217E1,5.313145675E0,5.313145675E0
5.074517381E1,5.322929683E1,1.040100770E1,3.555765411E1,4.772367496E0,9.948081745E1,5.324470479E0,5.324470479E0
5.174516928E1,5.322930084E1,1.040109762E1,3.550291892E1,4.428706032E0,9.401688829E1,5.269303604E0,5.269303604E0
5.274516511E1,5.322928867E1,1.040114095E1,3.536772876E1,3.686728992E0,9.760802332E1,5.267311357E0,5.267311357E0
5.374516010E1,5.322928549E1,1.040119388E1,3.561817744E1,3.453757909E0,9.557836454E1,5.285964421E0,5.285964421E0
5.474515593E1,5.322927938E1,1.040121981E1,3.479889473E1,2.695278508E0,9.485087844E1,5.301299836E0,5.301299836E0
5.574515152E1,5.322928488E1,1.040123234E1,3.488603140E1,1.845379986E0,8.026810262E1,5.295390223E0,5.295390223E0
5.674514675E1,5.322930227E1,1.040124626E1,3.514130474E1,1.344011965E0,4.843906311E1,5.253931828E0,5.253931828E0
5.774514258E1,5.322931196E1,1.040124921E1,3.529314077E1,8.180429949E-1,2.486898804E1,5.230816267E0,5.230816267E0
5.874513781E1,5.322933607E1,1.040124448E1,3.496290446E1,8.227147085E-1,3.461788166E2,5.170928869E0,5.170928869E0
5.974513340E1,5.322934581E1,1.040123081E1,3.518225896E1,7.337210326E-1,3.183023869E2,5.170188897E0,5.170188897E0
6.074512839E1,5.322934663E1,1.040122852E1,3.515830821E1,4.187223785E-1,2.908299488E2,5.177457477E0,5.177457477E0
6.174512446E1,5.322934660E1,1.040124182E1,3.522566515E1,0.000000000E0,2.908299596E2,5.198626598E0,5.198626598E0
6.274511981E1,5.322934655E1,1.040123947E1,3.521446031E1,0.000000000E0,2.908299577E2,5.183710068E0,5.183710068E0
6.374511468E1,5.322934863E1,1.040125189E1,3.522676881E1,0.000000000E0,2.908299677E2,5.220307850E0,5.220307850E0
6.474511087E1,5.322935242E1,1.040125547E1,3.529665520E1,0.000000000E0,2.908299707E2,5.263424654E0,5.263424654E0
6.574510598E1,5.322935133E1,1.040124666E1,3.539352190E1,0.000000000E0,2.908299636E2,5.278985931E0,5.278985931E0
