"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.940447030E-1,-2.124375153E1,4.500000179E-1,-1.230000019E1
9.040447030E-1,-2.116875076E1,6.937500238E-1,-1.278750038E1
9.140447030E-1,-2.079375076E1,9.187500477E-1,-1.295625019E1
9.240447030E-1,-2.038125038E1,1.068750024E0,-1.350000095E1
9.340447030E-1,-2.038125038E1,1.143750072E0,-1.400625038E1
9.440447030E-1,-2.055000114E1,9.562500119E-1,-1.447500038E1
9.540447030E-1,-2.055000114E1,1.143750072E0,-1.511250019E1
9.640447030E-1,-2.011875153E1,1.368750095E0,-1.509375095E1
9.740447030E-1,-1.998750114E1,1.650000095E0,-1.515000057E1
9.840447030E-1,-1.961250114E1,1.650000095E0,-1.539375019E1
9.940447030E-1,-1.963125038E1,1.406250000E0,-1.588125038E1
1.004044703E0,-1.948125076E1,1.350000024E0,-1.614375114E1
1.014044703E0,-1.897500038E1,1.143750072E0,-1.635000038E1
1.024044703E0,-1.833750153E1,8.437500596E-1,-1.666875076E1
1.034044703E0,-1.779375076E1,4.500000179E-1,-1.691250038E1
1.044044703E0,-1.741875076E1,-5.625000224E-2,-1.760625076E1
1.054044703E0,-1.700625038E1,-5.250000358E-1,-1.820625114E1
1.064044703E0,-1.659375000E1,-9.187500477E-1,-1.867500114E1
1.074044703E0,-1.597500038E1,-1.218750000E0,-1.888125038E1
1.084044703E0,-1.556250095E1,-1.443750024E0,-1.946250153E1
1.094044703E0,-1.533750057E1,-1.575000048E0,-1.998750114E1
1.104044703E0,-1.498125076E1,-1.856250048E0,-2.010000038E1
1.114044703E0,-1.443750095E1,-2.212500095E0,-2.043750000E1
1.124044703E0,-1.406250095E1,-2.231250048E0,-2.056875038E1
1.134044703E0,-1.359375095E1,-2.081250191E0,-2.070000076E1
1.144044703E0,-1.357500076E1,-2.362500191E0,-2.103750038E1
1.154044703E0,-1.327500057E1,-2.493750095E0,-2.141250038E1
1.164044703E0,-1.284375095E1,-2.850000143E0,-2.124375153E1
1.174044703E0,-1.239375019E1,-2.981250048E0,-2.120625114E1
1.184044703E0,-1.175625038E1,-3.075000048E0,-2.160000038E1
1.194044703E0,-1.141875076E1,-3.356250048E0,-2.201250076E1
1.204044703E0,-1.113750076E1,-3.918750048E0,-2.236875153E1
1.214044703E0,-1.081875038E1,-4.293750286E0,-2.268750000E1
1.224044703E0,-1.008750057E1,-4.425000191E0,-2.278125000E1
1.234044703E0,-9.712500572E0,-4.818750381E0,-2.300625038E1
1.244044703E0,-9.150000572E0,-5.343750000E0,-2.340000153E1
1.254044703E0,-8.512500763E0,-6.000000000E0,-2.370000076E1
1.264044703E0,-8.193750381E0,-6.506250381E0,-2.411250114E1
1.274044703E0,-7.668750286E0,-6.525000095E0,-2.431875038E1
1.284044703E0,-7.106250286E0,-6.656250477E0,-2.411250114E1
1.294044703E0,-6.562500477E0,-6.956250191E0,-2.411250114E1
1.304044703E0,-5.943750381E0,-7.312500477E0,-2.411250114E1
1.314044703E0,-5.118750095E0,-7.668750286E0,-2.426250076E1
1.324044703E0,-4.481250286E0,-7.650000095E0,-2.443125153E1
1.334044703E0,-3.806250095E0,-7.668750286E0,-2.446875191E1
1.344044703E0,-3.225000143E0,-7.893750191E0,-2.446875191E1
1.354044703E0,-2.437500000E0,-8.568750381E0,-2.424375153E1
1.364044703E0,-1.743750095E0,-8.887500763E0,-2.452500153E1
1.374044703E0,-1.031250000E0,-9.243750572E0,-2.467500114E1
1.384044703E0,-3.375000060E-1,-9.525000572E0,-2.465625191E1
1.394044703E0,-1.875000075E-2,-9.750000000E0,-2.435625076E1
1.404044703E0,5.812500119E-1,-1.008750057E1,-2.418750191E1
1.414044703E0,1.087500095E0,-1.065000057E1,-2.401875114E1
1.424044703E0,1.706250072E0,-1.104375076E1,-2.375625038E1
1.434044703E0,2.287500143E0,-1.096875000E1,-2.353125000E1
1.444044703E0,2.887500048E0,-1.119375038E1,-2.334375000E1
1.454044703E0,3.393750191E0,-1.140000057E1,-2.280000114E1
1.464044703E0,3.993750095E0,-1.185000038E1,-2.272500038E1
1.474044703E0,4.818750381E0,-1.201875019E1,-2.268750000E1
1.484044703E0,5.231250286E0,-1.201875019E1,-2.235000038E1
1.494044703E0,5.718750000E0,-1.209375095E1,-2.212500000E1
1.504044703E0,6.206250191E0,-1.201875019E1,-2.184375000E1
1.514044703E0,6.543750286E0,-1.241250038E1,-2.156250000E1
1.524044703E0,7.012500286E0,-1.269375038E1,-2.115000153E1
1.534044703E0,7.631250381E0,-1.295625019E1,-2.120625114E1
1.544044703E0,7.856250286E0,-1.286250019E1,-2.090625000E1
1.554044703E0,8.212500572E0,-1.297500038E1,-2.058750153E1
1.564044703E0,8.643750191E0,-1.325625038E1,-2.053125000E1
1.574044703E0,9.093750000E0,-1.318125057E1,-2.038125038E1
1.584044703E0,9.525000572E0,-1.344375038E1,-2.023125076E1
1.594044703E0,9.956250191E0,-1.368750095E1,-2.032500076E1
1.604044703E0,1.031250000E1,-1.365000057E1,-2.041875076E1
1.614044703E0,1.036875057E1,-1.370625019E1,-2.010000038E1
1.624044703E0,1.059375000E1,-1.408125019E1,-1.995000076E1
1.634044703E0,1.068750000E1,-1.395000076E1,-1.976250076E1
1.644044703E0,1.111875057E1,-1.406250095E1,-1.965000153E1
1.654044703E0,1.125000000E1,-1.430625057E1,-1.961250114E1
1.664044703E0,1.145625019E1,-1.451250076E1,-1.950000000E1
1.674044703E0,1.132500076E1,-1.423125076E1,-1.910625076E1
1.684044703E0,1.151250076E1,-1.436250019E1,-1.882500076E1
1.694044703E0,1.173750019E1,-1.466250038E1,-1.886250114E1
1.704044703E0,1.209375095E1,-1.468125057E1,-1.888125038E1
1.714044703E0,1.235625076E1,-1.500000095E1,-1.878750038E1
1.724044703E0,1.239375019E1,-1.507500076E1,-1.884375000E1
1.734044703E0,1.269375038E1,-1.505625057E1,-1.882500076E1
1.744044703E0,1.288125038E1,-1.490625095E1,-1.891875076E1
1.754044703E0,1.348125076E1,-1.507500076E1,-1.899375153E1
1.764044703E0,1.366875076E1,-1.498125076E1,-1.903125000E1
1.774044703E0,1.385625076E1,-1.464375019E1,-1.905000114E1
1.784044703E0,1.419375038E1,-1.447500038E1,-1.893750000E1
1.794044703E0,1.440000057E1,-1.447500038E1,-1.938750076E1
1.804044703E0,1.453125095E1,-1.447500038E1,-1.914375114E1
1.814044703E0,1.462500095E1,-1.447500038E1,-1.893750000E1
1.824044703E0,1.473750019E1,-1.470000076E1,-1.890000153E1
1.834044703E0,1.477500057E1,-1.498125076E1,-1.901250076E1
1.844044703E0,1.501875019E1,-1.520625019E1,-1.901250076E1
1.854044703E0,1.511250019E1,-1.531875038E1,-1.899375153E1
1.864044703E0,1.507500076E1,-1.550625038E1,-1.899375153E1
