"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.515750550E-1,-1.303585410E0,-5.743656158E-1,-9.848667383E-1
3.563297430E-1,-1.290757298E0,-5.487092733E-1,-1.001971006E0
3.610843780E-1,-1.246775031E0,-7.075341344E-1,-1.023962140E0
3.658390660E-1,-1.159421325E0,-9.970840216E-1,-1.037401080E0
3.705937010E-1,-1.048854828E0,-1.248149514E0,-1.040455461E0
3.753483890E-1,-9.395100474E-1,-1.372765899E0,-1.041677117E0
3.801030240E-1,-8.405499458E-1,-1.403309107E0,-1.040455461E0
3.848577120E-1,-7.519745231E-1,-1.438739300E0,-1.033735871E0
3.896123990E-1,-6.688969135E-1,-1.519373417E0,-1.011744738E0
3.943670350E-1,-5.980366468E-1,-1.627496481E0,-9.744820595E-1
3.991217220E-1,-5.522217751E-1,-1.729510903E0,-9.237802625E-1
4.038764100E-1,-5.827649832E-1,-1.681252599E0,-8.657481074E-1
4.086310450E-1,-6.725621223E-1,-1.494938850E0,-8.425352573E-1
4.133857330E-1,-7.043271065E-1,-1.367268085E0,-8.138245940E-1
4.181403680E-1,-7.232639194E-1,-1.235932112E0,-7.399099469E-1
4.228950550E-1,-7.648026943E-1,-1.092989802E0,-6.482802629E-1
4.276497430E-1,-8.265000582E-1,-9.335541129E-1,-5.670352578E-1
4.324043780E-1,-8.894191384E-1,-7.875574231E-1,-4.876227975E-1
4.371590660E-1,-9.437860847E-1,-6.934842467E-1,-4.057669342E-1
4.419137010E-1,-9.853248596E-1,-6.598866582E-1,-3.141372204E-1
4.466683890E-1,-1.010981202E0,-6.794343591E-1,-1.937968582E-1
4.514230760E-1,-1.021976829E0,-7.069232464E-1,-4.841103405E-2
4.561777120E-1,-1.027474523E0,-7.209731340E-1,1.122464016E-1
4.609323990E-1,-1.027474523E0,-7.234166265E-1,2.826776803E-1
4.656870350E-1,-1.025641918E0,-7.069232464E-1,4.579958618E-1
4.704417220E-1,-1.024420261E0,-6.641627550E-1,6.296488643E-1
4.751964100E-1,-1.019533277E0,-5.969675779E-1,7.958040833E-1
4.799510450E-1,-1.009148598E0,-5.022835732E-1,9.546289444E-1
4.847057330E-1,-9.914335608E-1,-3.788888752E-1,1.106734276E0
4.894603680E-1,-9.718858600E-1,-2.322813272E-1,1.251509190E0
4.942150550E-1,-9.517273307E-1,-9.361502528E-2,1.390175581E0
4.989697430E-1,-9.279035926E-1,4.123337101E-3,1.519068003E0
5.037243780E-1,-8.955277801E-1,3.039052337E-2,1.635743141E0
5.084790660E-1,-8.521563411E-1,-2.886336111E-2,1.738979340E0
5.132337530E-1,-7.910698652E-1,-1.620318890E-1,1.829387307E0
5.179883890E-1,-7.110465765E-1,-3.342957497E-1,1.911243200E0
5.227430760E-1,-6.157516837E-1,-4.845684767E-1,1.987601280E0
5.274977120E-1,-5.082395077E-1,-5.627591610E-1,2.063348532E0
5.322523990E-1,-3.921751976E-1,-5.688678026E-1,2.132376194E0
5.370070870E-1,-2.620609999E-1,-5.224421024E-1,2.192851782E0
5.417617220E-1,-1.233946830E-1,-4.369210303E-1,2.231947184E0
5.465164100E-1,1.710421406E-2,-3.153589368E-1,2.245386124E0
5.512710450E-1,1.557705253E-1,-1.571449637E-1,2.235001564E0
5.560257330E-1,2.877173126E-1,2.367101051E-2,2.208123446E0
5.607804200E-1,4.098902643E-1,2.130390853E-1,2.167806387E0
