"event","experiment time","system time","system time text"
"START",0.000000000E0,1686220478.994,"2023-06-08 12:34:38.994 UTC+02:00"
"PAUSE",5.265155546E1,1686220531.645,"2023-06-08 12:35:31.645 UTC+02:00"
