"event","experiment time","system time","system time text"
"START",0.000000000E0,1686819291.197,"2023-06-15 10:54:51.197 UTC+02:00"
"PAUSE",5.468251592E1,1686819345.879,"2023-06-15 10:55:45.879 UTC+02:00"
