"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.230856025E1,5.322409399E1,1.039303259E1,2.283891252E1,1.525732429E1,5.260845947E1,6.010508991E0,6.010508991E0
4.330856740E1,5.322417213E1,1.039320678E1,2.224173168E1,1.478508234E1,5.349549866E1,6.307764604E0,6.307764604E0
4.430706894E1,5.322424849E1,1.039337692E1,2.228186619E1,1.424392458E1,5.337204742E1,6.552361739E0,6.552361739E0
4.530681193E1,5.322432225E1,1.039354273E1,2.240777971E1,1.370164789E1,5.337204742E1,6.747812897E0,6.747812897E0
4.630681920E1,5.322438909E1,1.039369266E1,2.186704631E1,1.304957774E1,4.750785828E1,6.904090991E0,6.904090991E0
4.730675220E1,5.322448071E1,1.039383299E1,2.247433142E1,1.311286777E1,3.971460724E1,6.890977659E0,6.890977659E0
4.830681992E1,5.322458678E1,1.039393594E1,2.271653308E1,1.303996110E1,2.898712540E1,6.972883273E0,6.972883273E0
4.930682635E1,5.322470003E1,1.039400250E1,2.329872587E1,1.317913303E1,1.847813225E1,7.257924607E0,7.257924607E0
5.030685365E1,5.322481896E1,1.039403111E1,2.374905846E1,1.338361911E1,1.020053196E1,7.651012533E0,7.651012533E0
5.130658114E1,5.322495129E1,1.039403460E1,2.415089993E1,1.395359656E1,0.000000000E0,7.893523032E0,7.893523032E0
5.230658770E1,5.322508421E1,1.039402527E1,2.469326534E1,1.445036698E1,3.592684021E2,8.206737390E0,8.206737390E0
5.330742252E1,5.322521714E1,1.039401721E1,2.496205796E1,1.474229909E1,3.592383118E2,8.309665498E0,8.309665498E0
5.430730462E1,5.322535478E1,1.039401181E1,2.514207045E1,1.479673034E1,3.592383118E2,8.603739280E0,8.603739280E0
5.530731213E1,5.322549890E1,1.039400233E1,2.528505799E1,1.550502958E1,3.592383118E2,9.077848288E0,9.077848288E0
5.630670416E1,5.322564032E1,1.039399732E1,2.567483719E1,1.585264668E1,3.597606812E2,9.447544999E0,9.447544999E0
5.730668020E1,5.322577697E1,1.039400036E1,2.651708769E1,1.533035798E1,3.593757324E2,1.002268986E1,1.002268986E1
5.830668724E1,5.322590690E1,1.039400150E1,2.682775228E1,1.470940480E1,3.597848816E2,1.084743814E1,1.084743814E1
