"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686221464640088E9,"2023-06-08 12:51:04.640 UTC+02:00"
"PAUSE",3.917001195834018E1,1.686221503810361E9,"2023-06-08 12:51:43.810 UTC+02:00"
