"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.011204700E-1,-3.084867075E-2,-1.751654744E-1,1.091920808E-1
4.058753660E-1,-1.313359290E-2,-2.032652497E-1,1.128572673E-1
4.106302100E-1,1.527161920E-3,-2.368628234E-1,1.165224537E-1
4.153851060E-1,1.252272818E-2,-2.741255760E-1,1.177441850E-1
4.201400010E-1,1.740964688E-2,-3.119991720E-1,1.171333194E-1
4.248948450E-1,1.863137633E-2,-3.535379767E-1,1.153007299E-1
4.296497410E-1,1.374445762E-2,-3.969093859E-1,1.104138121E-1
4.344045850E-1,7.024944760E-3,-4.286743701E-1,9.941824526E-2
4.391594810E-1,-8.857538924E-3,-4.457785785E-1,8.170316368E-2
4.439143760E-1,-3.207040206E-2,-4.494437575E-1,5.604684353E-2
4.486692200E-1,-6.017018110E-2,-4.476111531E-1,2.244928107E-2
4.534241160E-1,-9.071341902E-2,-4.353938699E-1,-1.603520103E-2
4.581790120E-1,-1.218675226E-1,-4.176788032E-1,-6.307178736E-2
4.629338560E-1,-1.505781710E-1,-3.920224607E-1,-1.204930767E-1
4.676887510E-1,-1.768453568E-1,-3.627009690E-1,-1.919642538E-1
4.724435950E-1,-2.018908113E-1,-3.321577311E-1,-2.738201320E-1
4.771984910E-1,-2.220493406E-1,-3.028362095E-1,-3.642281294E-1
4.819533870E-1,-2.348775119E-1,-2.802342176E-1,-4.607447684E-1
4.867082310E-1,-2.367101014E-1,-2.667951882E-1,-5.554288030E-1
4.914631260E-1,-2.293797284E-1,-2.637408674E-1,-6.433933377E-1
4.962180220E-1,-2.104429156E-1,-2.771798968E-1,-7.118101716E-1
5.009728660E-1,-1.847866029E-1,-3.052796721E-1,-7.631227970E-1
5.057277620E-1,-1.554650813E-1,-3.712530732E-1,-8.064942360E-1
5.104826060E-1,-1.267544478E-1,-5.001455545E-1,-8.419243693E-1
5.152375010E-1,-1.010981202E-1,-6.870701313E-1,-8.688024282E-1
5.199923970E-1,-8.460476995E-2,-8.642209172E-1,-9.017891288E-1
5.247472410E-1,-8.643736690E-2,-1.025489211E0,-9.402735829E-1
5.295021370E-1,-1.114828214E-1,-1.186146736E0,-9.848667383E-1
5.342569810E-1,-1.658497900E-1,-1.357799649E0,-1.025794625E0
5.390118760E-1,-2.452622056E-1,-1.544724345E0,-1.053894520E0
5.437667720E-1,-3.368919194E-1,-1.708436131E0,-1.067944407E0
5.485216160E-1,-4.431824088E-1,-1.812893987E0,-1.073442101E0
5.532765120E-1,-5.635227561E-1,-1.864206553E0,-1.077107310E0
5.580314080E-1,-6.930260658E-1,-1.877645612E0,-1.067944407E0
5.627862510E-1,-8.268054724E-1,-1.866650105E0,-1.036179423E0
5.675411470E-1,-9.550870657E-1,-1.834885120E0,-9.812015295E-1
5.722959910E-1,-1.072373152E0,-1.775631189E0,-9.066760540E-1
5.770508870E-1,-1.172554970E0,-1.693775296E0,-8.126028776E-1
