"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-4.366212661E1,5.324177210E1,1.040428990E1,2.116139992E1,0.000000000E0,0.000000000E0,2.732299995E1,5.545589447E0
1.928581341E0,5.324188734E1,1.040384337E1,1.927381128E1,4.000000060E-1,1.821999969E2,8.421161652E0,7.950605869E0
2.925222430E0,5.324190126E1,1.040383033E1,2.065451287E1,0.000000000E0,0.000000000E0,7.071527004E0,7.844953537E0
3.925660238E0,5.324189841E1,1.040383910E1,1.827712539E1,0.000000000E0,0.000000000E0,6.266920090E0,7.220448494E0
4.928183046E0,5.324189596E1,1.040382801E1,1.966274527E1,0.000000000E0,0.000000000E0,5.229502201E0,6.128276825E0
5.926326114E0,5.324188891E1,1.040383931E1,1.909431055E1,0.000000000E0,0.000000000E0,5.167474747E0,5.958827496E0
6.927655433E0,5.324189247E1,1.040385038E1,1.918568212E1,0.000000000E0,0.000000000E0,5.382889748E0,6.035757542E0
7.927407616E0,5.324188673E1,1.040386575E1,1.886077838E1,0.000000000E0,0.000000000E0,5.407151699E0,5.908774376E0
8.928680580E0,5.324188429E1,1.040387897E1,2.047496727E1,0.000000000E0,0.000000000E0,5.120652676E0,5.515712738E0
9.927007450E0,5.324188441E1,1.040388746E1,2.143504778E1,0.000000000E0,0.000000000E0,5.128580570E0,5.434272766E0
1.092699854E1,5.324188423E1,1.040388521E1,2.134032166E1,0.000000000E0,0.000000000E0,5.208079338E0,5.507028580E0
1.192844807E1,5.324188374E1,1.040388544E1,2.131438090E1,0.000000000E0,0.000000000E0,5.442494392E0,5.608541965E0
1.292828364E1,5.324188141E1,1.040389192E1,2.150584259E1,0.000000000E0,0.000000000E0,5.634066105E0,5.792619705E0
1.392613681E1,5.324188048E1,1.040389451E1,2.205112844E1,0.000000000E0,0.000000000E0,5.482453823E0,5.709761620E0
1.492772180E1,5.324187895E1,1.040389463E1,2.193729550E1,0.000000000E0,0.000000000E0,5.311282158E0,5.493657589E0
1.592854154E1,5.324187824E1,1.040389636E1,2.220548235E1,0.000000000E0,0.000000000E0,5.694633961E0,5.718063831E0
1.692769096E1,5.324187785E1,1.040389610E1,2.225315030E1,0.000000000E0,0.000000000E0,5.745121956E0,5.579085827E0
1.792735903E1,5.324187737E1,1.040389656E1,2.228226319E1,0.000000000E0,0.000000000E0,6.184057236E0,5.688373566E0
1.892859527E1,5.324187715E1,1.040389668E1,2.224930383E1,0.000000000E0,0.000000000E0,6.865928173E0,5.995225430E0
1.992593225E1,5.324187715E1,1.040389666E1,2.224704554E1,0.000000000E0,0.000000000E0,6.402475357E0,5.873554230E0
2.092508823E1,5.324185135E1,1.040389633E1,2.347723093E1,2.089999914E0,1.743000031E2,6.427219391E0,5.662196636E0
2.192654042E1,5.324183725E1,1.040389370E1,2.334836506E1,9.499999881E-1,1.705000000E2,5.703493118E0,5.239598751E0
2.292844093E1,5.324182406E1,1.040390823E1,1.997529350E1,9.900000095E-1,1.898999939E2,5.196759701E0,4.879003048E0
2.392618937E1,5.324179982E1,1.040392799E1,2.345828255E1,1.659999967E0,1.705000000E2,5.126892567E0,4.795874119E0
2.492497889E1,5.324176735E1,1.040393749E1,2.308243661E1,1.480000019E0,1.718999939E2,5.378759861E0,4.971215725E0
2.592374519E1,5.324174991E1,1.040394234E1,2.432075079E1,1.299999952E0,1.598999939E2,5.086958408E0,4.861567497E0
2.692735071E1,5.324173541E1,1.040395016E1,2.522557242E1,5.899999738E-1,1.528000031E2,4.876447201E0,4.772184372E0
2.792533622E1,5.324172153E1,1.040395727E1,2.704671601E1,7.699999809E-1,1.620000000E2,4.721809387E0,4.602067471E0
2.892597137E1,5.324170305E1,1.040396338E1,2.812377333E1,1.809999943E0,1.645000000E2,4.847719193E0,4.791353703E0
2.992813090E1,5.324168602E1,1.040397011E1,2.751107435E1,1.139999986E0,1.733999939E2,4.604626179E0,4.606546402E0
3.092528439E1,5.324167144E1,1.040397678E1,2.602783470E1,1.120000005E0,1.730000000E2,4.793278694E0,4.814896584E0
3.192595048E1,5.324165828E1,1.040398421E1,2.544565898E1,1.279999971E0,1.688999939E2,4.731082439E0,4.662791729E0
3.292516261E1,5.324164628E1,1.040398906E1,2.440682080E1,1.360000014E0,1.713000031E2,4.782575130E0,4.591786861E0
3.392592588E1,5.324163559E1,1.040399428E1,2.407702991E1,1.169999957E0,1.706000061E2,4.522181034E0,4.435099602E0
3.492542749E1,5.324162133E1,1.040399391E1,2.350150781E1,1.220000029E0,1.813000031E2,4.391004562E0,4.295694828E0
3.592532093E1,5.324160469E1,1.040399081E1,2.435646390E1,1.289999962E0,1.778999939E2,4.219092846E0,4.115898609E0
