"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686120124114722E9,"2023-06-07 08:42:04.115 UTC+02:00"
"PAUSE",1.069000896666694E2,1.686120231014325E9,"2023-06-07 08:43:51.014 UTC+02:00"
