"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686221708643739E9,"2023-06-08 12:55:08.644 UTC+02:00"
"PAUSE",4.290241391665768E1,1.686221751546438E9,"2023-06-08 12:55:51.546 UTC+02:00"
