"event","experiment time","system time","system time text"
"START",0.000000000E0,1686222477.661,"2023-06-08 13:07:57.661 UTC+02:00"
"PAUSE",4.015269176E1,1686222517.813,"2023-06-08 13:08:37.813 UTC+02:00"
