"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-4.238758256E1,5.324893170E1,1.041267150E1,1.466964760E1,0.000000000E0,0.000000000E0,1.459599972E1,1.210743785E0
1.086251048E0,5.324890361E1,1.041272908E1,2.296002619E1,0.000000000E0,0.000000000E0,7.740406036E0,1.020908260E1
1.088555111E0,5.324890361E1,1.041272907E1,2.296002619E1,0.000000000E0,0.000000000E0,7.740406036E0,1.020908260E1
2.090926305E0,5.324890390E1,1.041273246E1,2.290930534E1,0.000000000E0,0.000000000E0,8.327569008E0,1.022591305E1
3.090034477E0,5.324890508E1,1.041273315E1,2.265222684E1,0.000000000E0,0.000000000E0,9.442524910E0,1.031060982E1
4.090638327E0,5.324890499E1,1.041273372E1,2.267987545E1,0.000000000E0,0.000000000E0,9.900728226E0,9.613377571E0
5.090646395E0,5.324890511E1,1.041273228E1,2.273767638E1,0.000000000E0,0.000000000E0,9.433718681E0,9.245639801E0
6.089331547E0,5.324890542E1,1.041273040E1,2.288495528E1,0.000000000E0,0.000000000E0,9.542154312E0,9.076945305E0
7.089982688E0,5.324890489E1,1.041273315E1,2.299963866E1,0.000000000E0,0.000000000E0,9.274322510E0,8.874807358E0
8.089525392E0,5.324890583E1,1.041272978E1,2.277558110E1,0.000000000E0,0.000000000E0,8.913190842E0,8.151513100E0
9.090297783E0,5.324890682E1,1.041272968E1,2.282514318E1,0.000000000E0,0.000000000E0,8.021595955E0,7.419791222E0
1.008960127E1,5.324890662E1,1.041272732E1,2.257959920E1,0.000000000E0,0.000000000E0,7.746970177E0,7.143196583E0
1.109028251E1,5.324890886E1,1.041272843E1,2.245704366E1,0.000000000E0,0.000000000E0,7.106337547E0,6.628886700E0
1.208998657E1,5.324891132E1,1.041272811E1,2.229426674E1,0.000000000E0,0.000000000E0,6.990177631E0,6.606909275E0
1.308998912E1,5.324891449E1,1.041272497E1,2.168416514E1,0.000000000E0,0.000000000E0,6.654094696E0,6.387576103E0
1.408980021E1,5.324891616E1,1.041272402E1,2.146328175E1,0.000000000E0,0.000000000E0,6.669109344E0,6.280185223E0
1.509021807E1,5.324891717E1,1.041272424E1,2.137868849E1,0.000000000E0,0.000000000E0,6.680478573E0,6.143812656E0
1.608944707E1,5.324891729E1,1.041272404E1,2.135927956E1,0.000000000E0,0.000000000E0,6.487521648E0,5.928676605E0
1.709053285E1,5.324891772E1,1.041272354E1,2.131399228E1,0.000000000E0,0.000000000E0,6.318840981E0,5.674299717E0
1.809062743E1,5.324894727E1,1.041270873E1,2.066999897E1,8.000000119E-1,3.380000000E2,6.402131081E0,5.584090233E0
1.908967565E1,5.324895352E1,1.041269427E1,1.932131922E1,6.999999881E-1,3.413999939E2,6.275056839E0,5.298209190E0
2.008989794E1,5.324893649E1,1.041267272E1,1.794318737E1,1.269999981E0,2.932000122E2,6.455585003E0,5.639836788E0
2.108943664E1,5.324894237E1,1.041266034E1,1.770302691E1,1.250000000E0,3.395000000E2,7.002706528E0,5.934247017E0
2.208993345E1,5.324898817E1,1.041262628E1,1.771964793E1,1.710000038E0,3.310000000E2,5.821902752E0,5.796226025E0
2.309009413E1,5.324899855E1,1.041262872E1,1.684008531E1,9.200000167E-1,3.431000061E2,6.356614113E0,6.188780308E0
2.408971860E1,5.324901765E1,1.041263515E1,1.503548586E1,9.499999881E-1,3.570000000E2,6.570705891E0,6.329270840E0
2.509215896E1,5.324904202E1,1.041262803E1,1.427148711E1,1.710000038E0,3.423999939E2,6.481384754E0,6.259760380E0
2.609100672E1,5.324906319E1,1.041261419E1,1.636832547E1,9.800000191E-1,3.397999878E2,7.108887196E0,6.878475189E0
2.709001551E1,5.324908595E1,1.041259063E1,2.005183925E1,1.610000014E0,3.302999878E2,7.730603218E0,7.544339180E0
2.809033202E1,5.324909678E1,1.041256140E1,2.051084939E1,1.350000024E0,3.177999878E2,7.679991245E0,7.636608124E0
2.908938837E1,5.324911286E1,1.041254211E1,2.140510606E1,1.460000038E0,3.342000122E2,8.440775871E0,8.460750580E0
3.009001383E1,5.324912743E1,1.041253130E1,2.237406476E1,1.110000014E0,3.462999878E2,9.370978355E0,8.986725807E0
3.108960919E1,5.324914165E1,1.041251776E1,1.992725232E1,1.450000048E0,3.382999878E2,1.045329285E1,9.256343842E0
3.209055231E1,5.324915544E1,1.041250617E1,2.108194007E1,9.800000191E-1,3.502000122E2,9.715277672E0,8.819265366E0
3.308981908E1,5.324916222E1,1.041250679E1,2.163999462E1,6.299999952E-1,1.439999962E1,9.574897766E0,8.310383797E0
3.409007595E1,5.324917726E1,1.041250637E1,2.076336968E1,8.500000238E-1,1.410000038E1,9.910042763E0,8.060842514E0
3.508987397E1,5.324919069E1,1.041249867E1,2.209878074E1,9.100000262E-1,3.573999939E2,8.049095154E0,7.531014919E0
3.608991433E1,5.324919823E1,1.041249681E1,2.411618782E1,0.000000000E0,0.000000000E0,7.921464443E0,7.500002384E0
3.708942224E1,5.324920439E1,1.041249784E1,2.338145566E1,3.199999928E-1,3.530000000E2,8.304202080E0,8.126797676E0
3.809077255E1,5.324921118E1,1.041249969E1,2.377007624E1,4.199999869E-1,3.500000000E0,8.282654762E0,7.745105743E0
3.908976275E1,5.324921896E1,1.041249615E1,2.341394906E1,5.199999809E-1,3.335000000E2,8.004585266E0,7.576979637E0
4.009086519E1,5.324921732E1,1.041249435E1,2.457654480E1,5.799999833E-1,1.378000031E2,8.142615318E0,7.840357304E0
4.108990774E1,5.324921468E1,1.041250970E1,2.516729518E1,1.159999967E0,1.246999969E2,8.482240677E0,8.337388039E0
4.209055091E1,5.324921277E1,1.041251030E1,2.684380575E1,6.200000048E-1,1.373000031E2,6.991582394E0,7.489574432E0
4.309049643E1,5.324921839E1,1.041251286E1,2.824566896E1,7.099999785E-1,1.436000061E2,6.466150761E0,6.941101074E0
4.409009091E1,5.324922620E1,1.041251471E1,2.810383455E1,4.699999988E-1,1.346000061E2,6.289050579E0,6.749905586E0
4.509112455E1,5.324923427E1,1.041251522E1,2.854854881E1,0.000000000E0,0.000000000E0,6.450999260E0,6.780561924E0
4.609148183E1,5.324923763E1,1.041250369E1,2.879391892E1,5.000000000E-1,2.887999878E2,6.329597473E0,6.750849724E0
4.708968511E1,5.324923748E1,1.041250748E1,2.769687159E1,2.000000030E-1,2.963999939E2,6.098682404E0,6.520525455E0
4.809148656E1,5.324924303E1,1.041249840E1,2.935551329E1,4.600000083E-1,3.111000061E2,6.268928528E0,6.381362915E0
4.908987083E1,5.324925133E1,1.041248327E1,2.835315035E1,5.000000000E-1,3.183999939E2,6.319624901E0,6.094527245E0
5.009046161E1,5.324926455E1,1.041246834E1,2.914785294E1,7.300000191E-1,3.331000061E2,7.039967060E0,6.363886356E0
5.109025770E1,5.324928042E1,1.041244472E1,3.065337775E1,8.000000119E-1,3.406000061E2,6.608083725E0,5.938242912E0
5.208975467E1,5.324928916E1,1.041243024E1,2.980464077E1,3.199999928E-1,3.202000122E2,5.614710808E0,5.511376858E0
5.308989545E1,5.324930057E1,1.041242054E1,2.700906795E1,7.200000286E-1,3.283999939E2,5.415345192E0,5.366333961E0
5.409033216E1,5.324931592E1,1.041241615E1,2.647808683E1,1.309999943E0,3.437000122E2,5.451951027E0,5.621920586E0
5.509781268E1,5.324932758E1,1.041241442E1,2.563630825E1,7.400000095E-1,3.408999939E2,5.413475037E0,5.753650665E0
5.608997809E1,5.324933794E1,1.041240510E1,2.492514533E1,1.080000043E0,3.315000000E2,5.633598328E0,6.187088013E0
5.708969402E1,5.324934865E1,1.041238602E1,2.452923263E1,1.750000000E0,3.160000000E2,1.102604485E1,6.545925140E0
5.809045850E1,5.324935465E1,1.041237152E1,2.536432937E1,9.200000167E-1,3.133999939E2,1.127168560E1,6.823197365E0
5.908988641E1,5.324936383E1,1.041235934E1,2.394350981E1,1.090000033E0,3.233999939E2,1.154277897E1,6.921541214E0
6.009001062E1,5.324936765E1,1.041235523E1,2.490427132E1,5.400000215E-1,3.360000000E2,1.137579060E1,6.745425224E0
6.109052765E1,5.324937024E1,1.041235745E1,2.498166713E1,3.300000131E-1,1.089999962E1,1.112358093E1,6.280636311E0
6.209185150E1,5.324937606E1,1.041236308E1,2.527751160E1,7.200000286E-1,1.319999981E1,1.096994209E1,5.948692322E0
