"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.027124999E-3,-2.048639832E0,6.504423981E0,7.225175171E0
1.595412500E-2,-2.069745941E0,6.380332031E0,7.100933533E0
2.588212500E-2,-2.207609253E0,6.319408722E0,6.997947693E0
3.581012500E-2,-2.302212524E0,6.222709808E0,6.874304810E0
4.573712500E-2,-2.124082947E0,6.116730194E0,6.814579010E0
5.566512500E-2,-2.147135010E0,5.985602875E0,6.944808197E0
6.559312500E-2,-2.243833923E0,5.946833496E0,6.904990997E0
7.552012500E-2,-2.313439178E0,6.133645020E0,6.912176056E0
8.544812500E-2,-2.230212250E0,6.246061249E0,6.816524963E0
9.537612500E-2,-2.271077271E0,6.210734711E0,6.764433289E0
1.053031250E-1,-2.122735748E0,6.145769806E0,6.723867645E0
1.152311250E-1,-1.870510254E0,6.016438751E0,6.608757019E0
1.251591250E-1,-1.822011108E0,5.982459412E0,6.600075073E0
1.350861250E-1,-1.895657959E0,6.070775757E0,6.472989349E0
1.450141250E-1,-1.814376984E0,6.174210663E0,6.476881256E0
1.549421250E-1,-1.788181458E0,6.248905334E0,6.841223602E0
1.648691250E-1,-2.007774811E0,6.238127747E0,7.215445404E0
1.747971250E-1,-2.401905212E0,6.304589539E0,7.637417908E0
1.847251250E-1,-2.697690125E0,6.539002075E0,8.009394379E0
1.946521250E-1,-2.717598724E0,6.679260406E0,8.215366058E0
2.045801250E-1,-2.577490082E0,6.447242889E0,8.432265015E0
2.145071250E-1,-2.420017548E0,6.004912720E0,8.845256195E0
2.244351250E-1,-2.189796295E0,5.573060760E0,9.133856049E0
2.343631250E-1,-1.747915192E0,5.192701721E0,9.057963867E0
2.442901250E-1,-1.371298370E0,4.881798248E0,8.822802887E0
2.542181250E-1,-1.021176453E0,4.734654236E0,8.669371948E0
2.641461250E-1,-1.073567505E0,4.573289795E0,8.578810272E0
2.740731250E-1,-1.200802917E0,4.486170959E0,8.804091797E0
2.840011250E-1,-3.526666260E-1,4.095184021E0,9.371711426E0
2.939291250E-1,-8.936416626E-2,3.360362091E0,9.639953613E0
3.038561250E-1,-8.678952026E-1,2.954406281E0,9.422455902E0
3.137841250E-1,-9.514215088E-1,3.131038971E0,8.702602844E0
3.237121250E-1,3.728746033E-1,2.480192413E0,1.240305771E1
3.336391250E-1,2.167043610E0,3.337759094E0,8.015681305E0
3.435671250E-1,3.919150085E0,3.313509521E0,7.078480225E0
3.534951250E-1,4.069437561E0,3.857478333E-1,1.160880936E1
3.634221250E-1,3.101699982E0,-8.170010376E-1,1.142439285E1
3.733501250E-1,2.442620544E0,-6.607260132E-1,9.511371002E0
3.832781250E-1,2.121987305E0,-9.101074219E-2,8.176446991E0
3.932051250E-1,2.008972321E0,3.336561584E-1,8.130193176E0
4.031331250E-1,1.884880371E0,1.354682922E-1,9.339228973E0
4.130611250E-1,1.708397369E0,7.355703735E-1,1.029020142E1
4.229881250E-1,1.613644409E0,2.368374939E0,1.058314224E1
4.329161250E-1,1.276246033E0,3.501668243E0,1.023706192E1
4.428441250E-1,8.042774963E-1,3.505560150E0,9.723928986E0
4.527711250E-1,4.496649170E-1,2.851570129E0,8.907227325E0
4.626991250E-1,6.816824341E-1,2.277813263E0,8.235723724E0
4.726271250E-1,1.260528717E0,2.241438904E0,7.670199738E0
4.825541250E-1,1.558109894E0,2.401007080E0,6.751110992E0
4.924821250E-1,1.551224213E0,1.574575653E0,5.652844849E0
5.024101250E-1,1.466201019E0,9.128018188E-1,7.029981079E0
5.123371250E-1,1.089733887E0,1.584604797E0,6.221811676E0
5.222651250E-1,4.921765137E-1,1.902244263E0,6.537205811E0
5.321921250E-1,-3.180885315E-1,1.648821259E0,7.866591339E0
5.421201250E-1,-2.465522919E0,6.628216553E-1,1.445633789E1
5.520481250E-1,-3.238964539E0,1.142574005E0,1.316647018E1
5.619751250E-1,-2.218686218E0,2.190844116E0,7.089706879E0
5.719031250E-1,-7.090754700E-1,1.990859985E0,7.572303314E0
5.818311250E-1,1.550026703E0,1.225052490E0,7.921078033E0
5.917581250E-1,2.539169769E0,8.155041504E-1,6.978188782E0
6.016861250E-1,2.388732605E0,1.131497040E0,5.065915375E0
6.116141250E-1,2.213147736E0,7.164102173E-1,3.802093506E0
6.215411250E-1,2.146835632E0,-1.411564636E-1,5.066663818E0
6.314691250E-1,2.442021790E0,6.810836792E-2,7.674540710E0
6.413971250E-1,3.001707916E0,6.976991272E-1,7.166048126E0
6.513241250E-1,3.586541748E0,6.613247681E-1,6.048921204E0
6.612521250E-1,3.710034943E0,6.870712280E-1,6.024521942E0
6.711801250E-1,3.341052246E0,1.637594604E0,5.456303558E0
6.811071250E-1,2.844534760E0,1.438957672E0,4.510420532E0
6.910351250E-1,2.831661530E0,6.957531738E-1,4.603526917E0
7.009631250E-1,3.551364899E0,6.355783081E-1,5.630391541E0
7.108901250E-1,4.739893341E0,5.415737915E-1,6.365363159E0
7.208181250E-1,6.069727936E0,2.700384521E-1,6.551725616E0
7.307461250E-1,7.077881470E0,2.170486450E-2,6.535409546E0
7.406731250E-1,7.406448212E0,-4.475692749E-1,6.704108734E0
7.506011250E-1,7.308701477E0,-7.012916565E-1,6.972350922E0
7.605291250E-1,7.646698608E0,-9.249266052E-1,6.832092590E0
7.704561250E-1,8.289911041E0,-1.621877289E0,6.691684570E0
7.803841250E-1,8.184230804E0,-2.139800262E0,6.575675812E0
7.903121250E-1,8.661288757E0,-1.794468384E0,6.621630249E0
8.002391250E-1,9.918973389E0,-1.498384094E0,6.594536591E0
8.101671250E-1,1.066187851E1,-1.269060974E0,6.751560059E0
8.200951250E-1,1.129955246E1,-9.256750488E-1,6.757098541E0
8.300221250E-1,1.201326828E1,-8.758287048E-1,6.520889740E0
8.399501250E-1,1.081156723E1,-1.507964172E0,5.616171112E0
8.498781250E-1,1.006297394E1,-1.533261566E0,5.261408844E0
8.598051250E-1,1.088701035E1,-1.049766998E0,5.566324768E0
8.697331250E-1,1.194935120E1,-8.011340332E-1,5.931714935E0
8.796601250E-1,1.254226822E1,-8.800199890E-1,5.823190613E0
8.895881250E-1,1.232851273E1,-1.368304596E0,5.414690094E0
8.995161250E-1,1.209604614E1,-1.377884674E0,4.713099060E0
9.094431250E-1,1.263627274E1,-1.146016846E0,3.829636230E0
9.193711250E-1,1.328113174E1,-1.285077667E0,2.993624725E0
9.293023750E-1,1.361972763E1,-1.330583038E0,2.631827087E0
9.392293750E-1,1.382240616E1,-8.849597168E-1,2.828069000E0
9.491573750E-1,1.387165375E1,-3.138972473E-1,2.948568420E0
9.590853750E-1,1.340687027E1,-4.453239441E-1,2.596201172E0
9.690123750E-1,1.270333328E1,-1.340462494E0,2.328857117E0
9.789403750E-1,1.231354385E1,-2.452200623E0,2.771786041E0
9.888683750E-1,1.218331467E1,-3.061134338E0,3.172353058E0
9.987953750E-1,1.234333191E1,-2.393971710E0,3.096311188E0
1.008723375E0,1.276395721E1,-1.776505737E0,2.560425568E0
1.018651375E0,1.279853531E1,-1.552571411E0,1.923649750E0
1.028578375E0,1.253822662E1,-1.462758179E0,1.828298035E0
1.038506375E0,1.223420883E1,-1.360520782E0,1.774110718E0
1.048434375E0,1.213990494E1,-1.010847931E0,1.514849854E0
1.058361375E0,1.233973938E1,-5.780978394E-1,1.108744354E0
1.068289375E0,1.254780670E1,-4.803511047E-1,5.188211060E-1
1.078217375E0,1.253463409E1,-5.962101746E-1,-6.286926270E-2
1.088144375E0,1.236608459E1,-3.405418396E-1,-4.317022705E-1
1.098072375E0,1.217568054E1,-2.404000854E-1,-7.958949280E-1
1.108000375E0,1.217448303E1,-2.462379456E-1,-1.004710693E0
1.117927375E0,1.265154099E1,-1.101708984E-1,-1.057101746E0
1.127855375E0,1.316781738E1,-1.543290710E-1,-1.359173584E0
1.137783375E0,1.282652710E1,-2.951861572E-1,-1.944157104E0
1.147710375E0,1.225501556E1,-2.121089172E-1,-2.165397034E0
1.157638375E0,1.192585007E1,-1.207987976E-1,-1.612147522E0
1.167565375E0,1.163290924E1,-4.917274475E-1,-7.827223206E-1
1.177493375E0,1.129206802E1,-8.692424011E-1,-6.210585022E-1
1.187421375E0,1.097068634E1,-1.032852173E0,-1.122066650E0
1.197348375E0,1.069795349E1,-1.307830353E0,-1.551673279E0
1.207276375E0,9.854457550E0,-1.358125763E0,-2.064207458E0
1.217204375E0,9.203012238E0,-1.294657745E0,-2.090253296E0
1.227131375E0,8.900042267E0,-9.773176575E-1,-8.297245789E-1
1.237059375E0,8.691825256E0,-1.025966492E0,9.250762939E-1
1.246987375E0,8.486003265E0,-1.052162018E0,1.023122406E0
1.256914375E0,8.520281982E0,-4.406835938E-1,-1.953437805E-1
1.266842375E0,8.784183197E0,4.730163574E-2,-1.305135956E0
1.276770375E0,8.748557281E0,-1.234931946E-1,-1.263223114E0
1.286697375E0,8.451425171E0,-7.234455872E-1,-3.001258850E-1
1.296625375E0,8.005352783E0,-9.586065674E-1,7.270381165E-1
1.306553375E0,7.477550354E0,-9.714797974E-1,1.272054749E0
1.316480375E0,7.241640930E0,-7.006929016E-1,1.017284546E0
1.326408375E0,7.475454712E0,-7.541317749E-1,4.281097412E-1
1.336336375E0,7.505392456E0,-9.972262573E-1,3.912863159E-1
1.346263375E0,7.570806427E0,-1.040785675E0,9.261241150E-1
1.356191375E0,7.681576080E0,-1.839075623E0,1.654060364E0
1.366119375E0,7.678133240E0,-2.906056824E0,2.144739990E0
1.376046375E0,7.423961792E0,-4.213438110E0,3.154989166E0
1.385974375E0,7.149432678E0,-5.239853668E0,2.748733978E0
1.395901375E0,7.154222717E0,-5.339995422E0,1.198856964E0
1.405829375E0,8.578061829E0,-4.767136688E0,1.116079102E0
1.415757375E0,1.054003189E1,-3.505111084E0,1.167572021E0
1.425684375E0,1.110869934E1,-3.127596130E0,8.577163696E-2
1.435612375E0,1.266680923E1,-3.166215820E0,-1.285676422E0
1.445540375E0,1.456501190E1,6.697073364E-1,-3.035687256E0
1.455467375E0,1.450393890E1,4.279001770E0,-2.954256592E0
1.465395375E0,1.256457184E1,5.328768768E0,-1.713037720E0
1.475323375E0,1.082429077E1,4.756957855E0,-1.066981201E0
1.485250375E0,1.006626709E1,3.645070038E0,-7.806266785E-1
1.495178375E0,1.017045044E1,1.689237213E0,-4.574487305E-1
1.505106375E0,1.058269318E1,-6.015989685E-1,-7.822732544E-1
1.515033375E0,1.147393982E1,-2.867736511E0,-1.339264984E0
1.524961375E0,1.243104950E1,-5.807922363E0,-2.664608917E0
1.534889375E0,1.247535736E1,-7.497608643E0,-5.000950470E0
1.544816375E0,1.076007431E1,-8.148904266E0,-5.786367188E0
1.554744375E0,9.064999237E0,-7.440128174E0,-5.610033875E0
1.564672375E0,7.137756958E0,-6.696324921E0,-5.130730591E0
1.574599375E0,3.672463074E0,-6.777456207E0,-5.470224609E0
1.584527375E0,-4.609215088E0,-1.210143494E1,-3.382516022E0
1.594455375E0,-9.689949646E0,-1.673983932E1,1.566941528E0
1.604382375E0,-1.496887207E-1,-8.694968719E0,2.692151642E0
1.614310375E0,6.952142944E0,-8.060737610E-1,4.135899353E-1
1.624238375E0,7.831115112E0,2.011816406E-1,-1.283580780E0
1.634165375E0,8.109985199E0,-6.656657410E-1,-1.333427124E0
1.644093375E0,7.910749512E0,-2.176174622E0,-8.723858643E-1
1.654020375E0,7.339836731E0,-4.255051575E0,7.738906860E-2
1.663948375E0,6.710695038E0,-6.178252258E0,6.743476868E-1
1.673876375E0,6.692732391E0,-7.416776733E0,-3.585044861E-1
1.683803375E0,6.997798004E0,-8.275391235E0,-1.891466675E0
1.693731375E0,7.411537628E0,-8.999734955E0,-2.631378021E0
1.703659375E0,8.866212616E0,-8.497379608E0,-1.804048462E0
1.713586375E0,9.867031403E0,-6.993307343E0,-9.104067993E-1
1.723514375E0,9.173224182E0,-6.434669037E0,-5.149291992E-1
1.733442375E0,7.367978210E0,-6.626869354E0,-6.602769470E-1
1.743369375E0,1.064586182E0,-1.067639832E1,1.260977783E0
1.753297375E0,2.537373505E0,-1.164488434E1,3.860921173E0
1.763225375E0,5.519472198E0,-1.045994843E1,3.070415039E0
1.773152375E0,6.885232086E0,-9.163793793E0,1.401086426E0
1.783080375E0,7.356901245E0,-8.458759918E0,1.716929626E-1
1.793008375E0,6.386618958E0,-8.129594421E0,-1.194815369E0
1.802935375E0,5.754932556E0,-7.738457794E0,-1.750908966E0
1.812863375E0,5.728138275E0,-7.227121124E0,-1.595981140E0
1.822791375E0,5.690566406E0,-6.833739166E0,-1.310225372E0
1.832718375E0,5.638325043E0,-6.552174683E0,-8.521778870E-1
1.842646375E0,5.504802704E0,-6.572232971E0,-5.306465149E-1
1.852574375E0,4.945266266E0,-6.649472351E0,-6.026467896E-1
1.862501375E0,4.656516724E0,-6.973548431E0,-1.675016785E-1
1.872429375E0,5.077591095E0,-6.931934967E0,-5.584886169E-1
1.882356375E0,5.012177124E0,-7.000193024E0,-4.366419983E-1
1.892284375E0,3.992946625E0,-7.403604126E0,6.152206421E-2
1.902212375E0,2.890189819E0,-7.311844940E0,-2.556683350E-1
1.912139375E0,3.211122437E0,-6.812333679E0,9.014254761E-1
1.922067375E0,4.656666412E0,-6.333928528E0,2.289638672E0
1.931992417E0,6.215225372E0,-5.887556763E0,6.903643799E-1
1.941919417E0,7.199728088E0,-5.857768707E0,-1.478924561E0
1.951847417E0,5.061424713E0,-8.046517181E0,1.475930786E-1
