"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686656277285405E9,"2023-06-13 13:37:57.285 UTC+02:00"
"PAUSE",7.326011383335572E1,1.686656350546028E9,"2023-06-13 13:39:10.546 UTC+02:00"
