"event","experiment time","system time","system time text"
"START",0.000000000E0,1686653338.766,"2023-06-13 12:48:58.766 UTC+02:00"
"PAUSE",2.713600029E1,1686653365.902,"2023-06-13 12:49:25.902 UTC+02:00"
