"event","experiment time","system time","system time text"
"START",0.000000000E0,1686653458.392,"2023-06-13 12:50:58.392 UTC+02:00"
"PAUSE",2.833026852E1,1686653486.722,"2023-06-13 12:51:26.722 UTC+02:00"
