"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.629648510E-1,3.959930837E-1,-1.447749585E-1,-4.302778840E-1
3.677197460E-1,4.155407548E-1,-1.863137633E-1,-4.186714590E-1
3.724745900E-1,4.381427765E-1,-2.302960157E-1,-4.052324295E-1
3.772294860E-1,4.619664848E-1,-2.742782831E-1,-3.948477209E-1
3.819843820E-1,4.851793647E-1,-3.164279461E-1,-3.875173330E-1
3.867392260E-1,5.071704984E-1,-3.640754223E-1,-3.826304376E-1
3.914941210E-1,5.303833485E-1,-4.324922562E-1,-3.710239828E-1
3.962490170E-1,5.505418777E-1,-5.057960153E-1,-3.624718785E-1
4.010038610E-1,5.609265566E-1,-5.711585879E-1,-3.667479455E-1
4.057587570E-1,5.621483326E-1,-6.224712133E-1,-3.795761168E-1
4.105136530E-1,5.529853702E-1,-6.646208763E-1,-3.942368627E-1
4.152684960E-1,5.334376693E-1,-6.994401813E-1,-4.137845337E-1
4.200233920E-1,5.065596104E-1,-7.177661061E-1,-4.577668011E-1
4.247782880E-1,4.747946560E-1,-7.257073522E-1,-4.993056059E-1
4.295331320E-1,4.393644929E-1,-6.994401813E-1,-5.109120011E-1
4.342880280E-1,3.941605091E-1,-6.548470259E-1,-5.011382103E-1
4.390429240E-1,3.397935331E-1,-6.071996093E-1,-4.705949426E-1
4.437977670E-1,2.756527364E-1,-5.662716627E-1,-4.223366380E-1
4.485526630E-1,2.066250145E-1,-5.467239618E-1,-3.655261993E-1
4.533075070E-1,1.412624866E-1,-5.577195287E-1,-3.258199990E-1
4.580624030E-1,8.933897316E-2,-5.949822664E-1,-3.062723279E-1
4.628172990E-1,5.574141070E-2,-6.487383842E-1,-2.983310819E-1
4.675721940E-1,3.985892609E-2,-7.159335017E-1,-2.958876193E-1
4.723270380E-1,3.985892609E-2,-7.910698652E-1,-2.983310819E-1
4.770819340E-1,3.680460155E-2,-8.936951756E-1,-3.050506115E-1
4.818368300E-1,1.970038936E-2,-1.018922448E0,-3.221548200E-1
4.865916740E-1,3.207040019E-3,-1.096502304E0,-3.313177824E-1
4.913465690E-1,-2.428187430E-2,-1.113606453E0,-3.313177824E-1
4.961014650E-1,-5.421425030E-2,-1.036637545E0,-3.349829614E-1
5.008563090E-1,-6.765327603E-2,-9.083559513E-1,-3.563632369E-1
5.056112050E-1,-6.643154472E-2,-7.947350740E-1,-3.979020417E-1
5.103661010E-1,-6.337722391E-2,-6.786707640E-1,-4.406625926E-1
5.151209440E-1,-6.948586553E-2,-5.662716627E-1,-4.583776593E-1
5.198758400E-1,-4.810560122E-2,-5.064069033E-1,-4.718166888E-1
5.246307360E-1,-1.145371422E-2,-4.856374860E-1,-5.103011727E-1
5.293855800E-1,1.374445739E-3,-5.436696410E-1,-5.561160445E-1
5.341404760E-1,3.130681813E-2,-5.974257588E-1,-5.774962902E-1
5.388953710E-1,8.139773458E-2,-6.499601007E-1,-5.634464025E-1
5.436502150E-1,1.522580534E-1,-6.731730103E-1,-5.249619484E-1
5.484051110E-1,2.249509543E-1,-6.695078015E-1,-4.797579348E-1
5.531600070E-1,2.780961990E-1,-6.847794056E-1,-4.431060255E-1
5.579148510E-1,3.019199073E-1,-7.562506199E-1,-4.211149216E-1
5.626697460E-1,3.080285788E-1,-8.649845123E-1,-4.241692424E-1
5.674246420E-1,3.025307953E-1,-9.889900684E-1,-4.400517046E-1
5.721794860E-1,2.884808779E-1,-1.112384796E0,-4.577668011E-1
5.769343820E-1,2.689332068E-1,-1.229059935E0,-4.687623680E-1
5.816892780E-1,2.487746775E-1,-1.334739566E0,-4.675406218E-1
5.864441210E-1,2.255618125E-1,-1.430645347E0,-4.547124803E-1
5.911990170E-1,2.017380893E-1,-1.516777277E0,-4.357756674E-1
5.959539130E-1,1.766926348E-1,-1.588248372E0,-4.150062501E-1
6.007087570E-1,1.534797698E-1,-1.648113132E0,-3.954585791E-1
6.054636530E-1,1.333212405E-1,-1.700647593E0,-3.795761168E-1
6.102185490E-1,1.204930767E-1,-1.747684121E0,-3.679696620E-1
6.149733920E-1,1.174387559E-1,-1.793498993E0,-3.612501621E-1
6.197282880E-1,1.241582632E-1,-1.831372619E0,-3.569740951E-1
6.244831840E-1,1.461493969E-1,-1.848476768E0,-3.539197743E-1
6.292380280E-1,1.852447391E-1,-1.840535522E0,-3.502545953E-1
6.339929240E-1,2.408334464E-1,-1.803883672E0,-3.441459537E-1
6.387478190E-1,3.135263622E-1,-1.742797256E0,-3.380373120E-1
6.435027150E-1,3.898844421E-1,-1.673158646E0,-3.368155658E-1
6.482575590E-1,4.619664848E-1,-1.616348147E0,-3.386481702E-1
6.530124550E-1,5.224421024E-1,-1.597411394E0,-3.355938494E-1
6.577673510E-1,5.731438994E-1,-1.618180752E0,-3.264308572E-1
6.625221940E-1,6.220130324E-1,-1.649334908E0,-3.062723279E-1
6.672770900E-1,6.666061878E-1,-1.682321548E0,-2.806160152E-1
6.720319860E-1,6.971494555E-1,-1.722638726E0,-2.531270981E-1
6.767868300E-1,7.008146048E-1,-1.772729635E0,-2.299142331E-1
6.815417260E-1,6.684387922E-1,-1.838092089E0,-2.115882933E-1
6.862966210E-1,6.018545032E-1,-1.896124244E0,-2.005927265E-1
6.910514650E-1,5.096139312E-1,-1.923613191E0,-1.981492639E-1
6.958063610E-1,4.002691507E-1,-1.924834967E0,-1.999818534E-1
7.005612570E-1,2.750418782E-1,-1.899178624E0,-2.018144578E-1
7.053161010E-1,1.467602700E-1,-1.855196357E0,-2.030361742E-1
7.100709960E-1,1.908952370E-2,-1.807548881E0,-2.036470473E-1
7.148258920E-1,-9.636391699E-2,-1.764177442E0,-2.054796368E-1
7.195807360E-1,-1.873827726E-1,-1.724471331E0,-2.067013681E-1
7.243356320E-1,-2.496909797E-1,-1.685986757E0,-1.981492639E-1
7.290905280E-1,-2.808450758E-1,-1.652389288E0,-1.718820781E-1
7.338453710E-1,-2.759581506E-1,-1.615126491E0,-1.358410567E-1
7.386002670E-1,-2.356410921E-1,-1.574198484E0,-1.071304083E-1
7.433551630E-1,-1.702785641E-1,-1.548542261E0,-9.491311759E-2
7.481100590E-1,-8.659008145E-2,-1.554650903E0,-9.246965498E-2
7.528649030E-1,1.847865991E-2,-1.596800566E0,-9.857830405E-2
7.576197990E-1,1.375972927E-1,-1.656054378E0,-1.132390574E-1
7.623746940E-1,2.609919906E-1,-1.733634233E0,-1.425605714E-1
7.671295380E-1,3.733910918E-1,-1.840535522E0,-1.895971596E-1
7.718844340E-1,4.564687014E-1,-1.978590965E0,-2.567922771E-1
7.766393300E-1,4.992292523E-1,-2.134361506E0,-3.313177824E-1
7.813941740E-1,4.998401105E-1,-2.302960157E0,-4.015672207E-1
7.861490690E-1,4.637990892E-1,-2.466061115E0,-4.650971591E-1
7.909039650E-1,3.984365463E-1,-2.615112066E0,-5.188532472E-1
7.956588090E-1,3.135263622E-1,-2.742782831E0,-5.616137981E-1
8.004137050E-1,2.188423127E-1,-2.847851515E0,-5.909352899E-1
8.051686010E-1,1.156061590E-1,-2.957196474E0,-6.013200283E-1
8.099234440E-1,5.650499370E-3,-3.086088896E0,-5.872701406E-1
8.146783400E-1,-1.049160287E-1,-3.233918190E0,-5.445095897E-1
8.194332360E-1,-1.953240186E-1,-3.393353939E0,-4.626537263E-1
8.241881320E-1,-2.600756884E-1,-3.555233002E0,-3.227656782E-1
8.289429760E-1,-3.028362095E-1,-3.709171057E0,-7.292198390E-2
8.336978710E-1,-3.119991720E-1,-3.846004725E0,1.995237023E-1
8.384527670E-1,-2.741255760E-1,-3.924806118E0,4.267654121E-1
8.432076110E-1,-1.818849891E-1,-3.998110056E0,5.849793553E-1
8.479625070E-1,-4.627300799E-2,-4.095237255E0,6.656135321E-1
8.527174030E-1,1.125518382E-1,-4.144717693E0,6.808851361E-1
8.574722460E-1,2.671006322E-1,-4.108065605E0,6.460658908E-1
8.622271420E-1,3.923279047E-1,-3.989557981E0,5.788707137E-1
8.669820380E-1,4.686860144E-1,-3.816683054E0,4.896844923E-1
8.717368820E-1,4.699077308E-1,-3.624871492E0,4.029416740E-1
8.764917780E-1,3.911061883E-1,-3.424507856E0,3.339139521E-1
8.812466740E-1,2.561050653E-1,-3.193601131E0,2.771035433E-1
8.860015170E-1,9.422589093E-2,-2.916268349E0,2.428951114E-1
8.907564130E-1,-7.681624591E-2,-2.588845015E0,2.325104028E-1
8.955113090E-1,-2.478583902E-1,-2.246149778E0,2.398407906E-1
9.002662050E-1,-4.164570570E-1,-1.926056623E0,2.709949017E-1
9.050210490E-1,-5.801688433E-1,-1.639561057E0,3.235292733E-1
9.097759440E-1,-7.408262491E-1,-1.405599833E0,3.870591819E-1
9.145308400E-1,-8.849903345E-1,-1.232725143E0,4.579195082E-1
9.192856840E-1,-9.973894954E-1,-1.106276155E0,5.330559015E-1
9.240405800E-1,-1.062752008E0,-1.021365881E0,6.100248694E-1
9.287954760E-1,-1.081077933E0,-9.841031432E-1,6.827177405E-1
9.335503710E-1,-1.057865024E0,-1.009759426E0,7.450259328E-1
9.383052150E-1,-1.003498077E0,-1.100167513E0,7.920625210E-1
9.430601110E-1,-9.405790567E-1,-1.232725143E0,8.287144303E-1
9.478150070E-1,-8.831577301E-1,-1.384830475E0,8.562033176E-1
9.525698510E-1,-8.263473511E-1,-1.514944673E0,8.641445637E-1
9.573247460E-1,-7.512109876E-1,-1.679267287E0,8.617011309E-1
9.620796420E-1,-6.650790572E-1,-1.887572169E0,8.562033176E-1
9.668344860E-1,-5.758927464E-1,-2.122755051E0,8.476512432E-1
9.715893820E-1,-5.099193454E-1,-2.293186426E0,8.311578631E-1
9.763442780E-1,-4.634936452E-1,-2.404363871E0,8.152754307E-1
9.810991210E-1,-4.231765866E-1,-2.494771719E0,8.219949007E-1
9.858540170E-1,-3.834703565E-1,-2.526536703E0,8.464295268E-1
9.906089130E-1,-3.358229101E-1,-2.484997988E0,8.757510185E-1
9.953637570E-1,-2.857320011E-1,-2.395811558E0,9.044616818E-1
1.000118653E0,-2.331976295E-1,-2.287688494E0,9.356157780E-1
1.004873549E0,-1.861610413E-1,-2.183230639E0,9.686024785E-1
1.009628392E0,-1.458439678E-1,-2.098320484E0,1.013806462E0
1.014383288E0,-1.098029464E-1,-2.032958031E0,1.069395185E0
1.019138184E0,-7.192932814E-2,-1.982256174E0,1.127427340E0
1.023893080E0,-2.977965772E-2,-1.943771720E0,1.178739905E0
1.028647924E0,1.420260593E-2,-1.921169758E0,1.222111344E0
1.033402819E0,5.390881747E-2,-1.918115377E0,1.256930590E0
1.038157715E0,8.628465235E-2,-1.929721832E0,1.275256634E0
1.042912559E0,1.046105921E-1,-1.948047757E0,1.275867462E0
