Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
6.005542083,-0.9228270837479984,-0.4954148450276577,2.005045694367932
6.015468083,-0.4165416162738965,-0.317812483091715,2.049429177799853
6.025394083,0.08856557777728627,-0.15231287999887028,2.0910685869206205
6.035320083,0.588603877639378,-0.0015566949000309234,2.130755785754097
6.045246083,1.0797797832554823,0.13202598641338598,2.1692182903582644
6.055171083,1.5584399497077774,0.2462571952334684,2.2071033721743776
6.065097083,2.0211115828173103,0.3392492664310991,2.244964067779228
6.075023083,2.4645395814502,0.4094389942699507,2.2832473598522327
6.084949083,2.8857198884329005,0.4556171549708357,2.3222847519875747
6.094875083,3.2819286008276856,0.47695286886739097,2.3622854141326695
6.104801083,3.650746486480387,0.4730123546712434,2.4033320272800687
6.114727083,3.9900786525396446,0.4437717125393587,2.4453794059904417
6.124653083,4.2981692095074,0.38962346143851184,2.4882559251736995
6.134579083,4.573610869155078,0.31137664957928496,2.531667723083036
6.144504083,4.815349505287122,0.21025045377007492,2.575205595819011
6.154430083,5.022683792271317,0.08786128311872755,2.6183544404910606
6.164356083,5.195260116879565,-0.05379649710924897,2.660505045963394
6.174282083,5.333063033551101,-0.21237600628636585,2.7009679737482553
6.184208083,5.436401600766168,-0.38520914220283264,2.738989218845222
6.194134083,5.505891995527438,-0.5693433245132462,2.773767292476126
6.204060083,5.542436852423439,-0.7615831990139579,2.804471327436283
6.213986083,5.547201812063746,-0.9585367342384301,2.8302597751739635
6.223912083,5.521589790564334,-1.1566650662988445,2.850299245593921
6.233838083,5.467213498393564,-1.3523353751633929,2.863783038911602
6.243763083,5.385866745151025,-1.5418760070161557,2.869948933985692
6.253689083,5.2794950678680275,-1.7216329975833533,2.868095827020731
6.263615083,5.1501662134152975,-1.8880271064975171,2.857598854671026
6.273541083,5.000040988090335,-2.0376104481486066,2.8379226831212168
6.283467083,4.831344956816465,-2.167121802164951,2.8086326981400918
6.293393083,4.646341429513661,-2.2735397049093633,2.7694038910655716
6.303319083,4.447306113609639,-2.35413245798596,2.7200273032655113
6.313245083,4.236503740459841,-2.40650423689611,2.660413964979053
6.323171083,4.016166891245248,-2.428636540769408,2.5905963374823884
6.333097083,3.7884771583164936,-2.4189242922183705,2.5107273328189135
6.343022083,3.555548687840369,-2.3762059749832782,2.4210770388593685
6.352948083,3.3194140681160205,-2.299787285786949,2.3220273207105238
6.362874083,3.0820124629862895,-2.1894578740027635,2.214064507015319
6.372800083,2.84517984447154,-2.04550084519563,2.0977704043573038
6.382726083,2.6106411504179805,-1.8686948089882425,1.9738119136226828
6.392652083,2.3800041758545087,-1.6603083563613181,1.8429295454140968
6.402578083,2.1547549963289394,-1.4220869570467127,1.7059251452584487
6.412504083,1.9362547162281887,-1.1562323759340405,1.5636491434982691
6.422430083,1.7257373349641718,-0.8653748197308979,1.416987640147503
6.432356083,1.5243085284468045,-0.5525381414465236,1.2668496214340912
