"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.518541656E-3,-2.504591675E0,5.640720062E0,7.059918823E0
1.144554166E-2,-1.781894531E0,4.347259827E0,8.052355042E0
2.137254167E-2,-1.832788696E0,4.259242859E0,8.017028503E0
3.129854167E-2,-1.861079865E0,4.821324005E0,8.272547150E0
4.122554167E-2,-2.241139526E0,5.024002533E0,8.205785980E0
5.115254168E-2,-2.430795135E0,5.000202026E0,8.337062988E0
6.107954166E-2,-2.526146851E0,4.679419098E0,8.777297516E0
7.100654166E-2,-2.793640594E0,4.434378662E0,8.920998688E0
8.093254166E-2,-2.590962067E0,4.576433258E0,8.869206390E0
9.085954167E-2,-2.427801361E0,4.539759521E0,9.118438110E0
1.007865417E-1,-2.233954468E0,4.318070526E0,9.147028656E0
1.107135417E-1,-2.047741699E0,4.224215698E0,9.112300873E0
1.206405417E-1,-1.961371307E0,4.290527802E0,9.223369904E0
1.305665417E-1,-1.956431580E0,4.342170410E0,9.222022705E0
1.404935417E-1,-2.061213684E0,4.334386597E0,9.104517059E0
1.504205417E-1,-2.083966370E0,4.347259827E0,9.360484772E0
1.603475417E-1,-1.950144653E0,4.691094818E0,1.039633072E1
1.702735417E-1,-9.722282410E-1,4.731959839E0,1.013931519E1
1.802005417E-1,1.087937622E0,4.406686249E0,1.018332367E1
1.901275417E-1,3.275488586E0,3.641028442E0,6.581363983E0
2.000545417E-1,-5.718109131E-1,2.695893860E0,6.812932434E0
2.099815417E-1,-1.103355560E0,3.764072571E0,7.749385071E0
2.199075417E-1,-8.226892090E-1,4.450245667E0,9.918374634E0
2.298345417E-1,-1.057850189E0,3.914509735E0,1.031250504E1
2.397615417E-1,-9.584568787E-1,4.262086945E0,1.057969940E1
2.496885417E-1,-1.189576263E0,4.128414917E0,9.734556885E0
2.596155417E-1,-1.279838562E0,3.584146729E0,9.365274811E0
2.695415417E-1,-1.121318207E0,3.056044922E0,9.152567139E0
2.794685417E-1,-1.134490814E0,2.894530792E0,8.918453979E0
2.893955417E-1,-1.025367737E0,2.684667206E0,8.614136810E0
2.993225417E-1,-6.271957397E-1,2.321222992E0,8.651558990E0
3.092495417E-1,-4.237687683E-1,2.184557190E0,8.722960510E0
3.191755417E-1,-2.424957275E-1,2.024989014E0,8.739875336E0
3.291025417E-1,-2.049238586E-1,1.687740326E0,9.344617767E0
3.390295417E-1,-4.185296631E-1,1.190474396E0,9.973011017E0
3.489565417E-1,-8.165519714E-1,7.056326294E-1,1.008422974E1
3.588835417E-1,-1.231638794E0,5.809419250E-1,1.028301636E1
3.688095417E-1,-1.503174133E0,9.494755554E-1,1.043959076E1
3.787365417E-1,-2.055525513E0,1.539099426E0,1.036983582E1
3.886635417E-1,-2.305355988E0,2.052531738E0,9.914931793E0
3.985905417E-1,-2.119592285E0,2.447859650E0,9.317973175E0
4.085165417E-1,-2.400707703E0,2.396815796E0,9.209299164E0
4.184435417E-1,-2.815495148E0,2.037413177E0,9.403595123E0
4.283705417E-1,-2.456092529E0,2.140698395E0,9.152567139E0
4.382975417E-1,-1.991758118E0,3.086880798E0,8.410560150E0
4.482245417E-1,-2.555036774E0,2.968327332E0,8.251441040E0
4.581505417E-1,-1.948198700E0,3.174149323E0,7.908953247E0
4.680775417E-1,-2.643053741E0,2.494412842E0,8.969797211E0
4.780045417E-1,-3.424428864E0,1.639540558E0,1.041713745E1
4.879315417E-1,-3.304677887E0,1.311422882E0,1.103744751E1
4.978585417E-1,-2.851420441E0,1.443598022E0,1.023840912E1
5.077845417E-1,-2.573747864E0,1.818268890E0,8.902736664E0
5.177115417E-1,-2.625240784E0,2.165696411E0,8.451275482E0
5.276385417E-1,-2.670596466E0,2.586471405E0,8.481213226E0
5.375655417E-1,-2.895428925E0,2.740201721E0,8.355624390E0
5.474925417E-1,-3.205134888E0,2.525997162E0,8.414751434E0
5.574185417E-1,-3.294798431E0,2.115401001E0,8.573271790E0
5.673455417E-1,-3.357817383E0,1.705104218E0,8.714877319E0
5.772725417E-1,-3.308420105E0,1.540596313E0,8.930129700E0
5.871995417E-1,-3.278482361E0,1.597478027E0,9.045390015E0
5.971265417E-1,-3.372037811E0,1.736838226E0,8.934919739E0
6.070525417E-1,-3.479214935E0,1.720671844E0,8.639733582E0
6.169795417E-1,-3.696413269E0,1.434017944E0,8.562793579E0
6.269065417E-1,-4.025279388E0,1.194665680E0,9.106013947E0
6.368335417E-1,-4.352947998E0,1.137185211E0,9.551936646E0
6.467605417E-1,-4.617597656E0,1.267863464E0,9.568402405E0
6.566865417E-1,-4.714595947E0,1.410666504E0,8.824599152E0
6.666135417E-1,-5.146447906E0,1.410067749E0,7.814349976E0
6.765405417E-1,-5.544619904E0,1.826052704E0,8.507558441E0
6.864676667E-1,-5.393284607E0,2.098935242E0,8.842412109E0
6.963946667E-1,-5.537135468E0,2.099234619E0,8.489146729E0
7.063206667E-1,-5.799090729E0,1.780247955E0,8.233478394E0
7.162476667E-1,-6.140231323E0,1.401086426E0,7.646698608E0
7.261746667E-1,-6.470294952E0,1.138382721E0,7.203619995E0
7.361016667E-1,-6.732699280E0,9.969268799E-1,7.125781860E0
7.460286667E-1,-6.946754150E0,1.030008087E0,6.978937225E0
7.559546667E-1,-7.249873810E0,1.154998169E0,6.854096832E0
7.658816667E-1,-7.560926971E0,1.247056732E0,6.935078430E0
7.758086667E-1,-7.634573822E0,1.256038055E0,7.038812714E0
7.857356667E-1,-7.510481873E0,1.313817902E0,6.998097382E0
7.956626667E-1,-7.333998871E0,1.370100861E0,6.916517029E0
8.055886667E-1,-7.190148010E0,1.509311371E0,6.729855194E0
8.155156667E-1,-7.101981354E0,1.719624023E0,6.493197327E0
8.254426667E-1,-7.024891663E0,1.872605896E0,6.129753113E0
8.353696667E-1,-7.106022949E0,1.827998657E0,5.671705627E0
8.452966667E-1,-7.467820587E0,1.704505463E0,5.243895264E0
8.552226667E-1,-7.881709900E0,1.447639618E0,5.069657593E0
8.651496667E-1,-8.250243530E0,9.897418213E-1,4.941673737E0
8.750766667E-1,-8.945996704E0,5.517526245E-1,5.174140320E0
8.850036667E-1,-9.689799957E0,-4.819976807E-2,5.125192108E0
8.949306667E-1,-9.647737427E0,-5.731581116E-1,5.432353363E0
9.048566667E-1,-8.720116425E0,-3.263214111E-1,6.246360626E0
9.147836667E-1,-8.237519989E0,6.251000977E-1,6.565796356E0
9.247106667E-1,-7.741152191E0,1.404080200E0,6.494843903E0
9.346376667E-1,-7.552245026E0,1.693578186E0,6.634353790E0
9.445646667E-1,-7.302115173E0,1.720971222E0,7.221133575E0
9.544906667E-1,-7.090305634E0,1.434167633E0,7.696994019E0
9.644176667E-1,-7.038213959E0,1.169817352E0,7.097640381E0
9.743446667E-1,-6.999893646E0,1.066831512E0,6.416407013E0
9.842716667E-1,-6.733148346E0,1.065484314E0,6.360872498E0
9.941986667E-1,-6.119125214E0,6.933581543E-1,6.372248840E0
1.004125667E0,-5.741909637E0,-1.332229614E-2,5.957910461E0
1.014051667E0,-5.188061371E0,-4.758604431E-1,5.512436829E0
1.023978667E0,-4.498445435E0,-7.583230591E-1,5.219795380E0
1.033905667E0,-3.694916382E0,-1.058149567E0,5.178481293E0
1.043832667E0,-3.563489685E0,-1.239721985E0,5.237009583E0
1.053759667E0,-4.041595459E0,-1.355880432E0,5.220693512E0
1.063685667E0,-4.678520966E0,-1.563947754E0,4.897814941E0
1.073612667E0,-4.152365112E0,-1.737137604E0,5.068460083E0
1.083539667E0,-3.910168762E0,-2.240091705E0,4.841082916E0
1.093466667E0,-4.333787842E0,-2.624492340E0,4.715194702E0
1.103393667E0,-4.209995270E0,-3.186124420E0,4.792434082E0
1.113319667E0,-4.416565704E0,-3.871998138E0,4.599635010E0
1.123246667E0,-4.828209686E0,-4.134851532E0,4.342469788E0
1.133173667E0,-5.444328461E0,-4.131558380E0,4.291725311E0
1.143100667E0,-6.091133423E0,-4.028273163E0,4.139042816E0
1.153027667E0,-6.915169830E0,-4.196523285E0,4.351900177E0
1.162953667E0,-7.614365845E0,-4.330794067E0,4.654870148E0
1.172880667E0,-8.083639984E0,-4.243824921E0,4.458179169E0
1.182807667E0,-8.473579102E0,-4.209546204E0,4.358785858E0
1.192734667E0,-8.890611877E0,-4.120481415E0,4.571493530E0
1.202661667E0,-9.193881226E0,-4.301604767E0,5.106181641E0
1.212588667E0,-9.319170685E0,-4.578379211E0,4.976850586E0
1.222514667E0,-9.407636719E0,-4.978946228E0,4.818030853E0
1.232441667E0,-9.597142639E0,-5.318739624E0,4.180506592E0
1.242368667E0,-9.955497437E0,-5.469027100E0,3.531306610E0
1.252295667E0,-1.023736130E1,-5.468578033E0,3.998634796E0
1.262222667E0,-1.050680099E1,-5.524561615E0,4.333787842E0
1.272148667E0,-1.073851913E1,-5.560935974E0,4.486919403E0
1.282075667E0,-1.086051544E1,-5.856571198E0,4.189338226E0
1.292002667E0,-1.100137253E1,-6.362968140E0,3.960763550E0
1.301929667E0,-1.101080292E1,-6.472689972E0,3.894002380E0
1.311856667E0,-1.095107712E1,-6.320007477E0,3.911066895E0
1.321783667E0,-1.090901459E1,-6.258485413E0,4.258494415E0
1.331709667E0,-1.087144272E1,-6.355184326E0,4.431833954E0
1.341636667E0,-1.108055786E1,-6.566395111E0,4.719086609E0
1.351563667E0,-1.124835892E1,-6.509812775E0,4.713997192E0
1.361490667E0,-1.122425903E1,-6.271358643E0,4.155807953E0
1.371417667E0,-1.108504852E1,-5.887856140E0,2.684966583E0
1.381343667E0,-1.156659714E1,-6.264173584E0,4.166585541E0
1.391270667E0,-1.190294769E1,-6.661896515E0,4.905598755E0
1.401197667E0,-1.194740524E1,-6.883585510E0,4.703069916E0
1.411124667E0,-1.198243240E1,-6.762637024E0,4.064048767E0
1.421051667E0,-1.239048386E1,-6.406826935E0,3.614683228E0
1.430978667E0,-1.293250671E1,-5.814957733E0,3.582500153E0
1.440904667E0,-1.217987183E1,-5.848937073E0,3.939507751E0
1.450831667E0,-1.151839737E1,-6.048472137E0,3.799698486E0
1.460758667E0,-1.073313034E1,-6.094875641E0,3.724405060E0
1.470685667E0,-1.024304947E1,-6.303691406E0,3.690276031E0
1.480612667E0,-1.040935364E1,-6.072572021E0,3.657344513E0
1.490538667E0,-1.040171951E1,-5.838608551E0,3.633993073E0
1.500465667E0,-1.012284943E1,-6.130501556E0,3.126398621E0
1.510392667E0,-1.007210495E1,-6.581663361E0,2.632725220E0
1.520319667E0,-1.015757721E1,-7.132667542E0,2.563569031E0
1.530246667E0,-1.019574783E1,-7.471413116E0,2.912194061E0
1.540173667E0,-1.058613602E1,-7.278015289E0,3.293002167E0
1.550099667E0,-1.076800781E1,-6.444997559E0,3.124302979E0
1.560026667E0,-1.045440994E1,-5.697601776E0,3.152444458E0
1.569953667E0,-9.919572144E0,-4.824916534E0,3.930227051E0
1.579880667E0,-8.992250519E0,-4.336482239E0,3.496279449E0
1.589807667E0,-8.664881287E0,-4.796176300E0,3.589685211E0
1.599734667E0,-9.041198730E0,-4.305945740E0,3.336860962E0
1.609660667E0,-8.693172455E0,-2.805466003E0,3.366349640E0
1.619587667E0,-8.128696289E0,-1.615141296E0,3.850742340E0
1.629514667E0,-7.328610077E0,-1.031654663E0,4.554728394E0
1.639441667E0,-6.721472626E0,-1.320553894E0,5.000800781E0
1.649368667E0,-6.950346680E0,-2.002535706E0,4.609514465E0
1.659295667E0,-7.439080353E0,-2.338586884E0,3.247796173E0
1.669221667E0,-7.895780640E0,-2.811004486E0,2.017205200E0
1.679148667E0,-8.191415863E0,-3.532953186E0,7.399113464E-1
1.689075708E0,-8.101752319E0,-3.624562683E0,-1.329235840E-1
1.699002708E0,-7.680528259E0,-3.166066132E0,-3.414399719E-1
1.708929708E0,-7.221283264E0,-2.589614868E0,-7.349716187E-2
1.718855708E0,-6.908284149E0,-2.146536255E0,3.001258850E-1
1.728782708E0,-6.942263489E0,-2.111209717E0,4.210743713E-1
1.738709708E0,-7.407645721E0,-2.248923340E0,4.388873291E-1
1.748636708E0,-7.608677673E0,-2.940485229E0,8.744815063E-1
1.758563708E0,-7.332651672E0,-3.635340271E0,4.580474854E-1
1.768490708E0,-7.223229218E0,-3.631148987E0,-5.783972168E-1
1.778416708E0,-7.742050323E0,-3.439248047E0,-4.314028931E-1
1.788343708E0,-8.407416687E0,-3.344495087E0,1.068777466E-1
1.798270708E0,-8.451425171E0,-3.795357513E0,2.842588806E-1
1.808197708E0,-8.478967896E0,-4.451443176E0,2.270777893E-1
1.818124708E0,-8.714877319E0,-4.805007935E0,2.237846375E-1
1.828051708E0,-8.544381866E0,-5.129832458E0,2.531236267E-1
1.837977708E0,-8.392597504E0,-5.774541779E0,2.239343262E-1
1.847904708E0,-8.139024811E0,-6.450236664E0,-1.145118713E-1
1.857831708E0,-8.009693756E0,-6.636898499E0,-9.220825195E-2
1.867758708E0,-7.516768799E0,-7.074588318E0,2.070195007E-1
1.877685708E0,-7.264842682E0,-6.110892334E0,2.215393066E-1
1.887612708E0,-8.206534424E0,-2.957549744E0,1.629661102E0
1.897538708E0,-7.862100677E0,-4.266128540E0,1.852547607E0
1.907465708E0,-7.547604675E0,-5.550158386E0,1.528022461E0
1.917392708E0,-7.847281494E0,-5.790408783E0,1.118174744E0
1.927319708E0,-8.157436523E0,-5.826334076E0,6.442602539E-1
1.937246708E0,-8.337062988E0,-5.968538361E0,3.879931641E-1
1.947173708E0,-8.706345062E0,-6.348148956E0,1.799258423E-1
1.957100708E0,-8.852590942E0,-6.599476318E0,-6.361770630E-2
1.967026708E0,-8.806337128E0,-6.740034027E0,-5.987548828E-2
1.976953708E0,-8.474776611E0,-6.846313019E0,-2.091151428E-1
1.986880708E0,-8.446186066E0,-6.773414612E0,4.251159668E-2
1.996807708E0,-8.288114777E0,-6.516848145E0,4.998106384E-1
2.006734708E0,-7.405999146E0,-6.683601379E0,1.013841705E0
2.016661708E0,-6.362668762E0,-7.607031097E0,1.156345367E0
2.026587708E0,-6.279292145E0,-8.068820801E0,1.028211823E0
2.036514708E0,-5.814209290E0,-8.304580536E0,8.830137634E-1
2.046441708E0,-5.720055084E0,-8.342451782E0,8.400531006E-1
2.056368708E0,-6.269412689E0,-8.031099243E0,8.226892090E-1
2.066295708E0,-7.328310699E0,-7.790699158E0,6.906637573E-1
2.076222708E0,-8.348439331E0,-7.384893036E0,7.563771057E-1
2.086148708E0,-8.514294434E0,-6.576723633E0,8.934919739E-1
2.096075708E0,-8.780590668E0,-5.940995636E0,1.029708710E0
2.106002708E0,-9.301357727E0,-5.323829041E0,7.337741089E-1
