"event","experiment time","system time","system time text"
"START",0.000000000E0,1686820362.947,"2023-06-15 11:12:42.947 UTC+02:00"
"PAUSE",5.158284389E1,1686820414.530,"2023-06-15 11:13:34.530 UTC+02:00"
