"event","experiment time","system time","system time text"
"START",0.000000000E0,1686581505.225,"2023-06-12 16:51:45.225 UTC+02:00"
"PAUSE",6.522597159E1,1686581570.451,"2023-06-12 16:52:50.451 UTC+02:00"
