"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686652850371586E9,"2023-06-13 12:40:50.372 UTC+02:00"
"PAUSE",2.334584991662996E1,1.686652873717582E9,"2023-06-13 12:41:13.718 UTC+02:00"
